name,team ,salary
Anthony Davis,NOP,11000
DeMarcus Cousins,SAC,10900
Kevin Durant,OKC,10700
Russell Westbrook,OKC,10300
Blake Griffin,LAC,9800
Chris Paul,LAC,9600
LaMarcus Aldridge,POR,9500
Damian Lillard,POR,9300
Carmelo Anthony,NYK,8900
Ty Lawson,DEN,8800
Nikola Vucevic,ORL,8800
Marc Gasol,MEM,8400
Michael Carter-Williams,PHI,8300
Tyreke Evans,NOP,8200
Zach Randolph,MEM,8100
DeAndre Jordan,LAC,7800
Gordon Hayward,UTA,7800
Rudy Gay,SAC,7700
Kenneth Faried,DEN,7500
Jrue Holiday,NOP,7500
Derrick Favors,UTA,7400
Mike Conley,MEM,7100
Gorgui Dieng,MIN,7000
Darren Collison,SAC,6900
Victor Oladipo,ORL,6800
Andrew Wiggins,MIN,6800
Serge Ibaka,OKC,6700
Jared Sullinger,BOS,6600
Enes Kanter,UTA,6500
Tobias Harris,ORL,6300
Rudy Gobert,UTA,6300
Arron Afflalo,DEN,6100
Wesley Matthews,POR,6100
Mo Williams,MIN,6000
Jarrett Jack,BRK,6000
Thaddeus Young,MIN,6000
Ricky Rubio,MIN,6000
Mason Plumlee,BRK,6000
Shabazz Muhammad,MIN,6000
Brook Lopez,BRK,5900
Joe Johnson,BRK,5700
Eric Gordon,NOP,5700
Wilson Chandler,DEN,5600
Deron Williams,BRK,5500
Ryan Anderson,NOP,5500
Elfrid Payton,ORL,5500
J.J. Hickson,DEN,5400
Evan Turner,BOS,5300
Nicolas Batum,POR,5300
Cole Aldrich,NYK,5200
Robert Covington,PHI,5100
Trey Burke,UTA,5100
Channing Frye,ORL,5000
Jeff Green,MEM,5000
Nerlens Noel,PHI,5000
Jamal Crawford,LAC,4900
Matt Barnes,LAC,4900
Tim Hardaway Jr.,NYK,4900
Dion Waiters,OKC,4900
Jameer Nelson,DEN,4800
Kevin Martin,MIN,4800
Jusuf Nurkic,DEN,4800
Jose Calderon,NYK,4700
Nikola Pekovic,MIN,4600
Chris Kaman,POR,4500
Robin Lopez,POR,4500
Brandon Bass,BOS,4400
Jason Thompson,SAC,4400
Omer Asik,NOP,4400
Reggie Jackson,OKC,4400
Kelly Olynyk,BOS,4400
K.J. McDaniels,PHI,4400
J.J. Redick,LAC,4300
Langston Galloway,NYK,4300
Ben McLemore,SAC,4300
Steven Adams,OKC,4300
Marcus Smart,BOS,4300
Henry Sims,PHI,4200
Quincy Acy,NYK,4200
Avery Bradley,BOS,4200
Amar'e Stoudemire,NYK,4100
Derrick Williams,SAC,4100
Thomas Robinson,POR,4100
Lance Thomas,NYK,4000
Alexis Ajinca,NOP,4000
Evan Fournier,ORL,4000
Jason Smith,NYK,3900
Courtney Lee,MEM,3900
Luc Richard Mbah a Moute,PHI,3800
Kevin Garnett,BRK,3700
Jerome Jordan,BRK,3700
Tony Allen,MEM,3600
Tyler Zeller,BOS,3600
Pablo Prigioni,NYK,3600
Shane Larkin,NYK,3600
Dorell Wright,POR,3500
Beno Udrih,MEM,3500
Spencer Hawes,LAC,3500
Meyers Leonard,POR,3500
Jae Crowder,BOS,3500
Joe Ingles,UTA,3500
Bojan Bogdanovic,BRK,3500
Furkan Aldemir,PHI,3500
Dante Exum,UTA,3500
Vince Carter,MEM,3400
Louis Amundson,NYK,3400
Dante Cunningham,NOP,3400
Chase Budinger,MIN,3400
Robbie Hummel,MIN,3400
Larry Drew II,PHI,3400
Kyle O'Quinn,ORL,3400
Omri Casspi,SAC,3400
Austin Rivers,LAC,3400
Quincy Miller,SAC,3400
Sergey Karasev,BRK,3400
Jerami Grant,PHI,3400
Anthony Morrow,OKC,3300
Elijah Millsap,UTA,3300
Jon Leuer,MEM,3300
Ray McCallum,SAC,3300
Jakarr Sampson,PHI,3300
Nik Stauskas,SAC,3300
Cleanthony Early,NYK,3300
Steve Blake,POR,3200
Reggie Evans,SAC,3200
Trevor Booker,UTA,3200
Kosta Koufos,MEM,3200
Hollis Thompson,PHI,3200
Will Barton,POR,3200
Roy Devyn Marble,ORL,3200
Ramon Sessions,SAC,3100
Aaron Gordon,ORL,3100
Andrei Kirilenko,PHI,3000
Hedo Turkoglu,LAC,3000
Jason Richardson,PHI,3000
Gerald Wallace,BOS,3000
Dahntay Jones,LAC,3000
Nick Collison,OKC,3000
Willie Green,ORL,3000
Luke Ridnour,ORL,3000
Ben Gordon,ORL,3000
Alan Anderson,BRK,3000
Tayshaun Prince,BOS,3000
John Salmons,NOP,3000
Steve Novak,UTA,3000
