Name,Team,Salary
LeBron James,CLE,10700
Stephen Curry,GSW,10000
Kevin Love,CLE,9300
Pau Gasol,CHI,9200
John Wall,WAS,9200
Kyle Lowry,TOR,8900
Kyrie Irving,CLE,8800
Greg Monroe,DET,8500
Marc Gasol,MEM,8400
Andre Drummond,DET,8200
Zach Randolph,MEM,8100
Dwyane Wade,MIA,8100
Chris Bosh,MIA,8100
Klay Thompson,GSW,8000
Jimmy Butler,CHI,7800
Draymond Green,GSW,7500
Brandon Knight,MIL,7500
Derrick Rose,CHI,7200
Rajon Rondo,DAL,7100
Monta Ellis,DAL,7100
Mike Conley,MEM,7100
DeMar DeRozan,TOR,6500
Dirk Nowitzki,DAL,6400
Tyson Chandler,DAL,6300
David West,IND,6200
Joakim Noah,CHI,6200
Brad Beal,WAS,6200
Taj Gibson,CHI,6100
Tristan Thompson,CLE,6000
Luol Deng,MIA,5900
Jonas Valanciunas,TOR,5900
Roy Hibbert,IND,5800
D.J. Augustin,DET,5800
Hassan Whiteside,MIA,5800
Chandler Parsons,DAL,5700
George Hill,IND,5600
Marcin Gortat,WAS,5500
Jordan Hill,LAL,5500
Nene Hilario,WAS,5400
Rodney Stuckey,IND,5300
Zaza Pachulia,MIL,5200
Giannis Antetokounmpo,MIL,5200
Timofey Mozgov,CLE,5100
David Lee,GSW,5000
Carlos Boozer,LAL,5000
C.J. Watson,IND,5000
J.R. Smith,CLE,5000
Jeff Green,MEM,5000
C.J. Miles,IND,5000
Khris Middleton,MIL,4900
Paul Pierce,WAS,4700
Andrew Bogut,GSW,4700
Louis Williams,TOR,4700
Luis Scola,IND,4600
Mario Chalmers,MIA,4600
Ed Davis,LAL,4600
Amir Johnson,TOR,4500
Wesley Johnson,LAL,4300
O.J. Mayo,MIL,4300
Larry Sanders,MIL,4200
Harrison Barnes,GSW,4200
Nick Young,LAL,4100
Jeremy Lin,LAL,4100
Kentavious Caldwell-Pope,DET,4100
Ersan Ilyasova,MIL,4000
Marreese Speights,GSW,4000
Greivis Vasquez,TOR,4000
James Johnson,TOR,4000
Patrick Patterson,TOR,4000
Mike Dunleavy,CHI,3900
Courtney Lee,MEM,3900
Wayne Ellington,LAL,3900
Kris Humphries,WAS,3800
Aaron Brooks,CHI,3800
Jodie Meeks,DET,3800
Jordan Clarkson,LAL,3700
Chris Andersen,MIA,3600
Ronnie Price,LAL,3600
Tony Allen,MEM,3600
Andre Iguodala,GSW,3600
Anthony Tolliver,DET,3600
Terrence Ross,TOR,3600
Devin Harris,DAL,3500
Beno Udrih,MEM,3500
Ian Mahinmi,IND,3500
Jerryd Bayless,MIL,3500
John Henson,MIL,3500
Nikola Mirotic,CHI,3500
Vince Carter,MEM,3400
Rasual Butler,WAS,3400
Jose Juan Barea,DAL,3400
Robert Sacre,LAL,3400
Solomon Hill,IND,3400
Tony Snell,CHI,3400
Jared Dudley,MIL,3300
Shaun Livingston,GSW,3300
Justin Holiday,GSW,3300
Jon Leuer,MEM,3300
Iman Shumpert,CLE,3300
Shabazz Napier,MIA,3300
Kosta Koufos,MEM,3200
Nazr Mohammed,CHI,3000
Andre Miller,WAS,3000
Shawn Marion,CLE,3000
Kenyon Martin,MIL,3000
Mike Miller,CLE,3000
Richard Jefferson,DAL,3000
Brendan Haywood,CLE,3000
Kirk Hinrich,CHI,3000
James Jones,CLE,3000
Chuck Hayes,TOR,3000
Danny Granger,MIA,3000
Drew Gooden,WAS,3000
Caron Butler,DET,3000
Raymond Felton,DAL,3000
Chris Copeland,IND,3000
Leandro Barbosa,GSW,3000
Udonis Haslem,MIA,3000
Cartier Martin,DET,3000
Charlie Villanueva,DAL,3000
Greg Stiemsma,TOR,3000
Tyrus Thomas,MEM,3000
Garrett Temple,WAS,3000
Shawne Williams,MIA,3000
Joel Anthony,DET,3000
Martell Webster,WAS,3000
Tyler Hansbrough,TOR,3000
Brandon Rush,GSW,3000
Landry Fields,TOR,3000
Donald Sloan,IND,3000
E'Twaun Moore,CHI,3000
Kyle Singler,DET,3000
Nick Calathes,MEM,3000
DeJuan Blair,WAS,3000
Lavoy Allen,IND,3000
Norris Cole,MIA,3000
Festus Ezeli,GSW,3000
Al-Farouq Aminu,DAL,3000
Justin Hamilton,MIA,3000
Luigi Datome,DET,3000
Jonas Jerebko,DET,3000
Shayne Whittington,IND,3000
Ryan Kelly,LAL,3000
Greg Smith,DAL,3000
Matthew Dellavedova,CLE,3000
Joe Harris,CLE,3000
Kevin Seraphin,WAS,3000
Cameron Bairstow,CHI,3000
Tarik Black,LAL,3000
Dwight Powell,DAL,3000
Russ Smith,MEM,3000
Doug McDermott,CHI,3000
James Ennis,MIA,3000
Spencer Dinwiddie,DET,3000
Johnny O'Bryant,MIL,3000
Otto Porter,WAS,3000
James Michael McAdoo,GSW,3000
Jarnell Stokes,MEM,3000
Lucas Nogueira,TOR,3000
Ognjen Kuzmic,GSW,3000
Jordan Adams,MEM,3000
Ricky Ledo,DAL,3000
Bruno Caboclo,TOR,3000
Damjan Rudez,IND,3000
