Name,Team,Salary
Aaron Ekblad,FLA,4875
Adam Burish,SJ,3269
Adam Clendening,CHI,5582
Adam Cracknell,CBJ,2368
Adam Henrique,NJ,7136
Adam Larsson,NJ,4336
Adam Lowry,WPG,3617
Adam McQuaid,BOS,3235
Adam Pardy,WPG,3102
Alec Martinez,LA,5050
Aleksander Barkov,FLA,3727
Ales Hemsky,DAL,4852
Alex Burrows,VAN,4986
Alex Chiasson,OTT,4545
Alex Galchenyuk,MTL,6160
Alex Goligoski,DAL,5731
Alex Khokhlachev,BOS,1746
Alex Killorn,TB,5126
Alex Ovechkin,WSH,6819
Alex Pietrangelo,STL,6063
Alex Steen,STL,7383
Alex Tanguay,COL,7281
Alexander Edler,VAN,3863
Alexander Semin,CAR,3900
Alexander Wennberg,CBJ,3547
Alexei Emelin,MTL,4805
Anders Lee,NYI,4491
Andre Benoit,BUF,3731
Andre Burakovsky,WSH,4669
Andrei Markov,MTL,6031
Andrej Meszaros,BUF,3912
Andrej Nestrasil,DET/CAR,3305
Andrej Sekera,CAR,4147
Andrej Sustr,TB,3015
Andrew Agozzino,COL,8634
Andrew Cogliano,ANA,3709
Andrew Desjardins, SJ,2984
Andrew Ebbett,PIT,3992
Andrew Ference,EDM,4137
Andrew Greene,NJ,4801
Andrew Ladd,WPG,7249
Andrew MacDonald,PHI,3911
Andrew Shaw,CHI,3225
Anthony Duclair,NYR,4457
Anthony Peluso,WPG,2431
Antoine Roussel,DAL,5517
Antoine Vermette,ARI,6447
Anton Lander,EDM,4159
Anton Stralman,TB,4896
Anton Volchenkov,NSH,2885
Anze Kopitar,L A,7047
Artem Anisimov,CBJ,4723
B j  Crombeen,ARI,2526
Barclay Goodrow, SJ,3612
Barret Jackman,STL,3814
Beau Bennett,PIT,5015
Ben Chiarot,WPG,3671
Ben Lovejoy,ANA,3932
Ben Smith,CHI,3924
Ben Street,COL,1849
Benoit Pouliot,EDM,5703
Blake Comeau,PIT,6172
Blake Wheeler,WPG,6592
Bo Horvat,VAN,3999
Bobby Farnham,PIT,1801
Bobby Ryan,OTT,6832
Bogdan Yakimov,EDM,1686
Boone Jenner,CBJ,6248
Borna Rendulic,COL,3146
Boyd Gordon,EDM,3873
Brad Boyes,FLA,4701
Brad Hunt,EDM,3828
Brad Malone,CAR,3120
Brad Marchand,BOS,5267
Brad Richards,CHI,5564
Brad Richardson,VAN,5411
Brad Stuart,COL,4574
Brandon Bollig,CGY,2189
Brandon Davidson,EDM,1815
Brandon Dubinsky,CBJ,6574
Brandon Gormley,ARI,3556
Brandon Kozun,TOR,2910
Brandon Manning,PHI,5056
Brandon McMillan,ARI,3045
Brandon Pirri,FLA,3616
Brandon Prust,MTL,3995
Brandon Saad,CHI,6468
Brandon Sutter,PIT,5078
Brayden McNabb,L A,3499
Brayden Schenn,PHI,5516
Braydon Coburn,PHI,3661
Brendan Gallagher,MTL,5592
Brendan Smith,DET,3219
Brendan Woods,CAR,1575
Brenden Dillon,DAL/ SJ,3383
Brenden Morrow,TB,2436
BrenTBurns, SJ,6189
Brent Seabrook,CHI,5081
BretTBellemore,CAR,3070
Brett Connolly,TB,3242
Brett Ritchie,DAL,5417
Brett Sutter,MIN,5918
Brian Boyle,TB,4372
Brian Campbell,FLA,2784
Brian Dumoulin,PIT,2945
Brian Flynn,BUF,4876
Brian Gibbons,CBJ,3698
Brian Gionta,BUF,4645
Brian Lashoff,DET,3174
Brian McGrattan,CGY,1789
Brian Strait,NYI,3338
Brock Nelson,NYI,5537
Brooks Laich,WSH,4798
Brooks Orpik,WSH,4147
Bryan Allen,ANA/MTL,3254
Bryan Bickell,CHI,4348
Bryan Little,WPG,7072
Bryan Rust,PIT,2864
Bryce Salvador,NJ,3291
Cal Clutterbuck,NYI,3303
Calle Jarnkrok,NSH,4070
Calvin De haan,NYI,3769
Cam Atkinson,CBJ,4385
Cam Fowler,ANA,4930
Carl Gunnarsson,STL,3640
Carl Hagelin,NYR,4706
Carl Soderberg,BOS,5934
Carlo Colaiacovo,PHI,4075
Carter Ashton,TOR,1731
Casey Cizikas,NYI,3647
Cedric Paquette,TB,3759
Charlie Coyle,MIN,4297
Chris Brown,WSH,3269
Chris Butler,STL,3399
Chris Higgins,VAN,4446
Chris Kelly,BOS,5220
Chris Kreider,NYR,5533
Chris Kunitz,PIT,6409
Chris Mueller,NYR,3843
Chris Neil,OTT,3915
Chris Phillips,OTT,3635
Chris Porter,STL,2917
Chris Stewart,BUF,4943
Chris Summers,ARI,3460
Chris Terry,CAR,3596
Chris Thorburn,WPG,2580
Chris Tierney, SJ,2944
Chris Vandevelde,PHI,3998
Christian Ehrhoff,PIT,4380
Christian Folin,MIN,3451
Christian Thomas,MTL,1915
Christopher Tanev,VAN,3639
Clarke MacArthur,OTT,5726
Claude Giroux,PHI,8337
Clayton Stoner,ANA,2484
Cody Ceci,OTT,4466
Cody Eakin,DAL,5625
Cody Franson,TOR,6327
Cody Goloubef,CBJ,3849
Cody Hodgson,BUF,3527
Cody McCormick,BUF,3423
Cody McLeod,COL,3339
Colby Robak,FLA/ANA,1824
Colin Fraser,STL,1590
Colin Greening,OTT,2196
Colin Wilson,NSH,6154
Colton Sceviour,DAL,4344
Connor Murphy,ARI,3508
Conor Allen,NYR,1843
Corey Perry,ANA,8078
Corey Tropp,CBJ,2303
Cory Conacher,NYI,3250
Craig Adams,PIT,3221
Craig Cunningham,BOS,2690
Craig Smith,NSH,4895
Curtis Glencross,CGY,5949
Curtis Lazar,OTT,3650
Curtis McKenzie,DAL,2477
Dainius Zubrus,NJ,3597
Dale Weise,MTL,4983
Dalton Prout,CBJ,3562
Damien Brunner,NJ,4650
Damon Severson,NJ,4604
Dan Boyle,NYR,4032
Dan Carcillo,CHI,3484
Dan Hamhuis,VAN,4315
Dana Tyrell,CBJ,1648
Daniel Briere,COL,3908
Daniel Cleary,DET,3151
Daniel Girardi,NYR,4147
Daniel Paille,BOS,3657
Daniel Sedin,VAN,7323
Daniel Winnik,TOR,5614
Danny Dekeyser,DET,4515
Dany Heatley,ANA,1840
Darnell Nurse,EDM,1956
Darren Helm,DET,4661
Dave Bolland,FLA,4838
David Backes,STL,6574
David Booth,TOR,2469
David Clarkson,TOR,3882
David Desharnais,MTL,5343
David Jones,CGY,5036
David Krejci,BOS,7509
David Legwand,OTT,5148
David Moss,ARI,2551
David Pastrnak,BOS,5382
David Perron,EDM/PIT,5540
David Rundblad,CHI,3698
David Savard,CBJ,5492
David Schlemko,ARI/DAL,3389
David Warsofsky,BOS,3590
Dennis Everberg,COL,3149
Dennis Seidenberg,BOS,4091
Dennis Wideman,CGY,6105
Derek Dorsett,VAN,4530
Derek MacKenzie,FLA,3670
Derek Roy,NSH/EDM,5217
Derek Stepan,NYR,9083
Derick Brassard,NYR,7199
Derrick Pouliot,PIT,4892
Deryk Engelland,CGY,2814
Devante Smith-Pelly,ANA,4691
Devin Setoguchi,CGY,1832
Dion Phaneuf,TOR,6018
Dmitrij Jaskin,STL,4350
Dmitry Kulikov,FLA,4685
Dominic Moore,NYR,4173
Dougie Hamilton,BOS,4938
Drew Doughty,L A,5376
Drew Miller,DET,3861
Drew Stafford,BUF,5904
Duncan Keith,CHI,5198
Dustin Brown,L A,4354
Dustin Byfuglien,WPG,6102
Dwight King,L A,3923
Dylan Olsen,FLA,3687
Elias Lindholm,CAR,4007
Emerson Etem,ANA,3353
Eriah Hayes, SJ,1766
Eric Brewer,TB/ANA,3558
Eric Fehr,WSH,5803
Eric Gelinas,NJ,4075
Eric Gryba,OTT,3945
Eric Nystrom,NSH,4143
Eric Staal,CAR,5961
Eric Tangradi,MTL,1746
Erik Cole,DAL,5829
Erik Condra,OTT,3984
Erik Gudbranson,FLA,3318
Erik Haula,MIN,3241
Erik Johnson,COL,5780
Erik Karlsson,OTT,6098
Evander Kane,WPG,5913
Evgeni Malkin,PIT,8819
Evgeny Kuznetsov,WSH,4226
Fedor Tyutin,CBJ,3619
Filip Forsberg,NSH,7043
Francois Beauchemin,ANA,4510
Frank Corrado,VAN,1921
Frans Nielsen,NYI,5273
Frederic St-Denis,CBJ,3535
Gabriel Bourque,NSH,3315
Gabriel Landeskog,COL,5717
Grant Clitsome,WPG,2994
Gregory Campbell,BOS,3622
Griffin Reinhart,NYI,2834
Gustav Nyquist,DET,6724
Hampus Lindholm,ANA,4856
Henrik Sedin,VAN,7204
Henrik Zetterberg,DET,7199
Ian Cole,STL,2645
Iiro Pakarinen,EDM,3307
J t  Brown,TB,3345
J t  Miller,NYR,4923
Jack Hillen,WSH,3371
Jack Johnson,CBJ,6419
Jack Skille,CBJ,3773
Jacob Josefson,NJ,3400
Jacob Trouba,WPG,4663
Jaden Schwartz,STL,7820
Jake Gardiner,TOR,3304
Jake Muzzin,L A,4642
Jakob Silfverberg,ANA,4475
Jakub Kindl,DET,3760
Jakub Voracek,PHI,8622
James Neal,NSH,6057
James Sheppard, SJ,4025
James van riemsdyk,TOR,8193
James Wisniewski,CBJ,5733
Jamie Benn,DAL,7864
Jamie McBain,L A,5261
Jamie McGinn,COL,4252
Jamie Oleksiak,DAL,3924
Jan Hejda,COL,3891
Jannik Hansen,VAN,5006
Jared Boll,CBJ,2570
Jared Cowen,OTT,4068
Jared Spurgeon,MIN,4090
Jarome Iginla,COL,6487
Jaromir Jagr,NJ,5496
Jarred Tinordi,MTL,3410
Jarret Stoll,L A,3908
Jason Akeson,PHI,1908
Jason Chimera,WSH,3962
Jason Demers, SJ/DAL,3895
Jason Garrison,TB,4880
Jason Pominville,MIN,6290
Jason Spezza,DAL,6557
Jason Zucker,MIN,5530
Jay Beagle,WSH,4512
Jay Bouwmeester,STL,3531
Jay Harrison,CAR/WPG,3781
Jay McClement,CAR,4152
Jayson Megna,PIT,2517
Jean-Gabriel Pageau,OTT,3378
Jeff Carter,L A,5906
