Name,Team,Salary
Andrew Luck,IND,10000
Arian Foster,HOU,9900
Peyton Manning,DEN,9800
Antonio Brown,PIT,9100
DeMarco Murray,DAL,9000
Demaryius Thomas,DEN,9000
Tom Brady,NE,8400
Drew Brees,NO,8300
Philip Rivers,SD,8300
Dez Bryant,DAL,8200
TY Hilton,IND,8100
Emmanuel Sanders,DEN,8000
Cam Newton,CAR,8000
Russell Wilson,SEA,7800
Nick Foles,PHI,7700
Jeremy Maclin,PHI,7600
Rob Gronkowski,NE,7600
Ben Roethlisberger,PIT,7500
Tony Romo,DAL,7500
Eli Manning,NYG,7300
Jamaal Charles,KC,7100
Le'Veon Bell,PIT,7000
Colin Kaepernick,SF,7000
Carson Palmer,ARI,6800
Jimmy Graham,NO,6700
Giovani Bernard,CIN,6600
Kelvin Benjamin,CAR,6600
Michael Vick,NYJ,6600
Mohamed Sanu,CIN,6400
Robert Griffin III,WAS,6400
Ryan Tannehill,MIA,6300
Andy Dalton,CIN,6300
AJ Green,CIN,6300
Joe Flacco,BAL,6100
Marshawn Lynch,SEA,6100
Colt McCoy,WAS,6100
Pierre Garcon,WAS,6100
DeSean Jackson,WAS,6000
Greg Olsen,CAR,6000
Brandon LaFell,NE,6000
Andre Ellington,ARI,5900
Kirk Cousins,WAS,5800
Ahmad Bradshaw,IND,5800
Mike Glennon,TB,5700
Branden Oliver,SD,5700
Alex Smith,KC,5700
Ryan Fitzpatrick,HOU,5700
Larry Fitzgerald,ARI,5700
Steve Smith,BAL,5600
Julius Thomas,DEN,5600
Lamar Miller,MIA,5600
Ronnie Hillman,DEN,5600
Martavis Bryant,PIT,5500
Mark Ingram,NO,5500
Austin Davis,STL,5500
Rashad Jennings,NYG,5500
Andre Johnson,HOU,5500
Keenan Allen,SD,5500
Blake Bortles,JAX,5400
DeAndre Hopkins,HOU,5400
Rueben Randle,NYG,5400
Antonio Gates,SD,5300
Justin Forsett,BAL,5300
Derek Carr,OAK,5300
Brian Hoyer,CLE,5300
Steve Johnson,SF,5300
Donte Moncrief,IND,5300
Mike Wallace,MIA,5200
Teddy Bridgewater,MIN,5200
LeSean McCoy,PHI,5200
Geno Smith,NYJ,5100
Doug Baldwin,SEA,5100
Case Keenum,STL,5000
Odell Beckham Jr,NYG,5000
Anquan Boldin,SF,5000
Josh McCown,TB,5000
Chad Henne,JAX,5000
Mark Sanchez,PHI,5000
Drew Stanton,ARI,5000
Derek Anderson,CAR,5000
Matt McGloin,OAK,5000
Christian Ponder,MIN,5000
Logan Thomas,ARI,5000
Blaine Gabbert,SF,5000
Tarvaris Jackson,SEA,5000
Brandon Weeden,DAL,5000
Jimmy Garoppolo,NE,5000
Matt Barkley,PHI,5000
Shaun Hill,STL,5000
Ryan Nassib,NYG,5000
Josh Johnson,SF,5000
Jason Campbell,CIN,5000
Mike Kafka,TB,5000
Matt Hasselbeck,IND,5000
Aaron Murray,KC,5000
Brock Osweiler,DEN,5000
Chase Daniel,KC,5000
Dustin Vaughan,DAL,5000
Joe Webb,CAR,5000
Johnny Manziel,CLE,5000
Kellen Clemens,SD,5000
Landry Jones,PIT,5000
Luke McCown,NO,5000
Tom Savage,HOU,5000
Ryan Mallett,HOU,5000
Bruce Gradkowski,PIT,5000
Matt Moore,MIA,5000
Tyrod Taylor,BAL,5000
Matt Schaub,OAK,5000
Andrew Hawkins,CLE,4900
Terrance Williams,DAL,4900
Allen Robinson,JAX,4900
Pierre Thomas,NO,4800
Andre Holmes,OAK,4800
Darren McFadden,OAK,4800
Cordarrelle Patterson,MIN,4800
Denard Robinson,JAX,4800
Eric Decker,NYJ,4700
Mike Evans,TB,4700
Malcom Floyd,SD,4700
Jerick McKinnon,MIN,4700
Reggie Wayne,IND,4600
Larry Donnell,NYG,4600
Shane Vereen,NE,4600
James Jones,OAK,4500
Chris Ivory,NYJ,4500
Trent Richardson,IND,4500
Michael Crabtree,SF,4500
Vincent Jackson,TB,4500
Dwayne Bowe,KC,4500
Tim Wright,NE,4500
Bobby Rainey,TB,4400
Jordan Reed,WAS,4400
Ben Tate,CLE,4300
Heath Miller,PIT,4300
Ryan Mathews,SD,4200
Clay Harbor,JAX,4200
Percy Harvin,NYJ,4200
Brandin Cooks,NO,4100
Darren Sproles,PHI,4100
Julian Edelman,NE,4100
Travis Kelce,KC,4100
Dwayne Allen,IND,4100
Cecil Shorts,JAX,4100
Riley Cooper,PHI,4100
Torrey Smith,BAL,4100
Jace Amaro,NYJ,4100
Jordan Matthews,PHI,4000
Jeremy Hill,CIN,4000
Marques Colston,NO,3900
Alfred Morris,WAS,3900
Jonathan Stewart,CAR,3900
Markus Wheaton,PIT,3900
Doug Martin,TB,3900
Eddie Royal,SD,3800
John Brown,ARI,3800
Michael Floyd,ARI,3800
Frank Gore,SF,3800
Zach Ertz,PHI,3800
Greg Jennings,MIN,3800
Roy Helu,WAS,3800
Jerricho Cotchery,CAR,3800
Chase Ford,MIN,3800
Montee Ball,DEN,3700
Vernon Davis,SF,3700
Brian Quick,STL,3600
Kenny Stills,NO,3600
Wes Welker,DEN,3600
Matt Asiata,MIN,3500
Jordan Cameron,CLE,3500
Andre Williams,NYG,3500
Travaris Cadet,NO,3500
Eagles,PHI,3400
Knile Davis,KC,3400
Niles Paul,WAS,3400
Miles Austin,CLE,3400
Louis Murphy,TB,3400
Jarvis Landry,MIA,3400
Austin Seferian-Jenkins,TB,3400
Jonas Gray,NE,3400
Gavin Escobar,DAL,3400
Terrance West,CLE,3300
Chiefs,KC,3300
Andre Roberts,WAS,3300
Lorenzo Taliaferro,BAL,3300
Bengals,CIN,3300
Seahawks,SEA,3300
DeAngelo Williams,CAR,3300
Kenbrell Thompkins,OAK,3300
Owen Daniels,BAL,3200
Jason Witten,DAL,3200
Colts,IND,3200
Tre Mason,STL,3200
Khiry Robinson,NO,3200
Chris Johnson,NYJ,3200
49ers,SF,3200
Mychal Rivera,OAK,3200
Juwan Thompson,DEN,3200
Dolphins,MIA,3100
Texans,HOU,3100
Coby Fleener,IND,3100
Jarius Wright,MIN,3100
Kenny Britt,STL,3100
Taylor Gabriel,CLE,3100
Jermaine Kearse,SEA,3100
Greg Little,CIN,3100
Allen Hurns,JAX,3000
Benny Cunningham,STL,3000
Vikings,MIN,3000
Jared Cook,STL,3000
Kyle Rudolph,MIN,3000
Zac Stacy,STL,3000
Ravens,BAL,3000
Cardinals,ARI,3000
Isaiah Crowell,CLE,3000
Lance Kendricks,STL,3000
Donnie Avery,KC,3000
Steelers,PIT,3000
Jeremy Kerley,NYJ,3000
Jermaine Gresham,CIN,3000
Charles Clay,MIA,3000
Brandon Lloyd,SF,3000
Mike Campanaro,,3000
Brian Hartline,MIA,3000
Donald Brown,SD,3000
Bernard Pierce,BAL,3000
Storm Johnson,JAX,3000
Travis Benjamin,CLE,3000
Daniel Fells,NYG,3000
LeGarrette Blount,PIT,3000
Toby Gerhart,JAX,3000
Hakeem Nicks,IND,3000
Josh Hill,NO,3000
De'Anthony Thomas,KC,3000
Jason Avant,CAR,3000
Tavon Austin,STL,3000
Anthony Fasano,KC,3000
Marqise Lee,JAX,3000
Carlos Hyde,SF,3000
Brandon Tate,CIN,3000
Daniel Thomas,MIA,3000
Lance Moore,PIT,3000
Brice Butler,OAK,3000
Stepfan Taylor,ARI,3000
Alfred Blue,HOU,3000
Cooper Helfet,SEA,3000
Robert Turbin,SEA,3000
John Carlson,ARI,3000
Jeff Cumberland,NYJ,3000
Zach Miller,CHI,3000
Fozzy Whittaker,CAR,3000
Philly Brown,,3000
Damaris Johnson,HOU,3000
Brandon Myers,TB,3000
Preston Parker,NYG,3000
James White,NE,3000
Darrel Young,WAS,3000
Ricardo Lockette,SEA,3000
Greg Salas,NYJ,3000
Ladarius Green,SD,3000
Jim Dray,CLE,3000
Brian Tyms,NE,3000
Marcel Reece,OAK,3000
Brenton Bersin,CAR,3000
Kamar Aiken,BAL,3000
Dion Sims,MIA,3000
Garrett Graham,HOU,3000
Justin Brown,PIT,3000
Kyle Juszczyk,BAL,3000
Denarius Moore,OAK,3000
Lance Dunbar,DAL,3000
Cole Beasley,DAL,3000
Charles Johnson,CAR,3000
Luke Willson,SEA,3000
Chris Givens,STL,3000
Jacob Tamme,DEN,3000
Stedman Bailey,STL,3000
Brandon Gibson,MIA,3000
Bilal Powell,NYJ,3000
Robert Herron,TB,3000
Mike Brown,JAX,3000
Chris Owusu,NYJ,3000
Maurice Jones-Drew,OAK,3000
Brent Celek,PHI,3000
DeVier Posey,HOU,3000
Darrin Reaves,CAR,3000
Jack Doyle,IND,3000
Vincent Brown,OAK,3000
Derek Carrier,SF,3000
Jordan Todman,JAX,3000
Junior Hemingway,KC,3000
Anthony Sherman,KC,3000
Benjamin Watson,NO,3000
Kevin Norwood,SEA,3000
Peyton Hillis,NYG,3000
Bruce Ellington,SF,3000
Ted Ginn Jr,,3000
Aaron Dobson,NE,3000
Rishard Matthews,MIA,3000
Danny Amendola,NE,3000
Paul Richardson,SEA,3000
Dane Sanzenbacher,CIN,3000
Joseph Randle,DAL,3000
Quinton Patton,SF,3000
Dwayne Harris,DAL,3000
Rhett Ellison,MIN,3000
Brian Leonhardt,OAK,3000
James Casey,PHI,3000
AJ Jenkins,KC,3000
Chris Polk,PHI,3000
Austin Johnson,NO,3000
Marlon Brown,BAL,3000
Logan Paulsen,WAS,3000
Bryan Walters,SEA,3000
Gary Barnidge,CLE,3000
Dri Archer,PIT,3000
Robert Meachem,NO,3000
Will Ta'ufo'ou,JAX,3000
Ryan Grant,WAS,3000
Silas Redd Jr,,3000
Cyrus Gray,KC,3000
Rob Housler,ARI,3000
Crockett Gillmore,BAL,3000
CJ Anderson,DEN,3000
Adam Thielen,MIN,3000
Adrien Robinson,NYG,3000
Brandon Williams,BAL,3000
Jeff Maehl,PHI,3000
Trey Watts,STL,3000
Damien Williams,MIA,3000
Daniel Herron,,3000
Robert Hughes,ARI,3000
James Develin,NE,3000
Ronnie Brown,SD,3000
Jacoby Jones,BAL,3000
John Phillips,SD,3000
Cory Harkey,STL,3000
Josh Huff,PHI,3000
Christine Michael,SEA,3000
Erik Lorig,NO,3000
Jonathan Grimes,HOU,3000
Vance McDonald,SF,3000
Will Johnson,PIT,3000
Luke Stocker,TB,3000
Ed Dickson,CAR,3000
Jaron Brown,ARI,3000
Frankie Hammond Jr,,3000
Keshawn Martin,HOU,3000
Russell Shepard,TB,3000
Albert Wilson,KC,3000
Bruce Miller,SF,3000
Brandon Bolden,NE,3000
Darrius Heyward-Bey,PIT,3000
Jamize Olawale,OAK,3000
Chris Ogbonnaya,CAR,3000
Troy Niklas,ARI,3000
Zach Line,MIN,3000
Virgil Green,DEN,3000
David Ausberry,OAK,3000
James Wright,CIN,3000
TJ Graham,NYJ,3000
Andre Caldwell,DEN,3000
CJ Fiedorowicz,HOU,3000
Michael Hoomanawanui,NE,3000
Demetrius Harris,KC,3000
Devin Street,DAL,3000
Joe Banyard,MIN,3000
Ryan Hewitt,CIN,3000
Cedric Peerman,CIN,3000
Harold Hoskins,,3000
Jay Prosch,HOU,3000
Ryan Griffin,HOU,3000
Brad Smith,PHI,3000
Griff Whalen,IND,3000
MarQueis Gray,MIN,3000
Aldrick Robinson,WAS,3000
Shaun Draughn,SD,3000
Zach Sudfeld,NYJ,3000
Mike James,TB,3000
Jerome Felton,MIN,3000
Seyi Ajirotutu,SD,3000
Ace Sanders,JAX,3000
James Hanna,DAL,3000
Trey Burton,PHI,3000
Tyler Clutts,DAL,3000
Latavius Murray,OAK,3000
Henry Hynoski,NYG,3000
Alex Bayer,STL,3000
Andrew DePaola,TB,3000
Brett Brackett,SEA,3000
Chase Reynolds,STL,3000
Clark Harris,CIN,3000
Cody Latimer,DEN,3000
Corey Washington,NYG,3000
Darren Fells,ARI,3000
David Johnson,SD,3000
Dontrelle Inman,SD,3000
Edwin Baker,NO,3000
Glenn Winston,CLE,3000
Isaiah Burse,DEN,3000
John Conner,NYJ,3000
Joseph Morgan,NO,3000
Kapri Bibbs,DEN,3000
Kassim Osgood,SF,3000
Kevin Brock,CIN,3000
Kevin McDermott,BAL,3000
Kevin Ogletree,NYG,3000
Kiero Small,CLE,3000
Kyle Nelson,SF,3000
Marion Grice,ARI,3000
Marlon Moore,CLE,3000
Matt Spaeth,PIT,3000
Matthew Slater,NE,3000
Michael Cox,NYG,3000
Michael Palmer,PIT,3000
Mike Leach,ARI,3000
Nic Jacobs,JAX,3000
Nick Toon,NO,3000
Phil Bates,SEA,3000
Phillip Supernaw,BAL,3000
Rex Burkhead,CIN,3000
Rodney Smith,CLE,3000
Saalim Hakim,NYJ,3000
Santana Moss,WAS,3000
Trindon Holliday,TB,3000
Walt Powell,,3000
Broncos,DEN,2900
Browns,CLE,2900
Cowboys,DAL,2900
Chargers,SD,2900
Redskins,WAS,2900
Buccaneers,TB,2800
Rams,STL,2800
Jets,NYJ,2800
Jaguars,JAX,2700
Raiders,OAK,2700
Patriots,NE,2600
Giants,NYG,2600
Saints,NO,2600
Panthers,CAR,2400
