Player	Team	Salary	
Le'Veon	Bell	PIT	9100
Ezekiel	Elliott	DAL	9000
Antonio	Brown	PIT	8900
Leonard	Fournette	JAX	8600
A.J.	Green	CIN	8300
Todd	Gurley	LAR	8200
Dez	Bryant	DAL	7800
Mike	Evans	TB	7600
Drew	Brees	NO	7600
Michael	Thomas	NO	7500
LeSean	McCoy	BUF	7400
Larry	Fitzgerald	ARI	7300
Dak	Prescott	DAL	7300
C.J.	Anderson	DEN	7200
Cam	Newton	CAR	7000
Melvin	Gordon	LAC	7000
Kelvin	Benjamin	CAR	6900
Marcus	Mariota	TEN	6900
Stefon	Diggs	MIN	6900
Aaron	Rodgers	GB	6800
Jordy	Nelson	GB	6800
Jarvis	Landry	MIA	6800
Mark	Ingram	NO	6700
Adam	Thielen	MIN	6700
Carson	Palmer	ARI	6600
Doug	Baldwin	SEA	6600
David	Johnson	ARI	6500
DeVante	Parker	MIA	6500
Jordan	Howard	CHI	6400
Russell	Wilson	SEA	6400
Jerick	McKinnon	MIN	6300
Keenan	Allen	LAC	6300
DeMarco	Murray	TEN	6200
Jay	Ajayi	MIA	6200
Ben	Roethlisberger	PIT	6200
Christian	McCaffrey	CAR	6100
T.Y.	Hilton	IND	6100
Jameis	Winston	TB	6000
Devin	Funchess	CAR	6000
Doug	Martin	TB	5900
Sam	Bradford	MIN	5900
Carlos	Hyde	SF	5900
Emmanuel	Sanders	DEN	5900
Delanie	Walker	TEN	5800
Davante	Adams	GB	5800
Jared	Goff	LAR	5800
Adrian	Peterson	ARI	5800
Pierre	Garcon	SF	5800
Demaryius	Thomas	DEN	5800
DeSean	Jackson	TB	5700
Andy	Dalton	CIN	5700
Darren	McFadden	DAL	5700
Derek	Anderson	CAR	5600
Alvin	Kamara	NO	5600
Derrick	Henry	TEN	5500
Rishard	Matthews	TEN	5500
Ty	Montgomery	GB	5500
Andrew	Luck	IND	5500
Alfred	Morris	DAL	5400
Trevor	Siemian	DEN	5400
Randall	Cobb	GB	5300
Javorius	Allen	BAL	5300
Philip	Rivers	LAC	5300
Aaron	Jones	GB	5200
Josh	McCown	NYJ	5200
Sterling	Shepard	NYG	5200
Tyrod	Taylor	BUF	5100
Brett	Hundley	GB	5100
Bilal	Powell	NYJ	5100
Ryan	Fitzpatrick	TB	5000
Kevin	Hogan	CLE	5000
Matt	Cassel	TEN	5000
Jacoby	Brissett	IND	5000
Austin	Seferian-Jenkins	NYJ	5000
Case	Keenum	MIN	5000
Joe	Mixon	CIN	5000
Cole	Beasley	DAL	5000
DeShone	Kizer	CLE	4900
Duke	Johnson Jr.	CLE	4900
John	Brown	ARI	4900
C.J.	Beathard	SF	4900
Jimmy	Graham	SEA	4900
Corey	Coleman	CLE	4800
Chris	Ivory	JAX	4800
Brian	Hoyer	SF	4800
Eli	Manning	NYG	4800
Cameron	Brate	TB	4700
Tarik	Cohen	CHI	4700
Blake	Bortles	JAX	4700
Jay	Cutler	MIA	4700
Jermaine	Kearse	NYJ	4700
Joe	Flacco	BAL	4700
AJ	McCarron	CIN	4700
Mitchell	Trubisky	CHI	4600
Greg	Olsen	CAR	4600
Chase	Daniel	NO	4600
Cooper	Kupp	LAR	4600
Corey	Davis	TEN	4500
Matt	Moore	MIA	4500
Matt	Forte	NYJ	4500
Landry	Jones	PIT	4500
James	Conner	PIT	4500
Cooper	Rush	DAL	4500
Jason	Witten	DAL	4500
Cardale	Jones	LAC	4500
Geno	Smith	NYG	4500
Mike	Glennon	CHI	4400
Sammy	Watkins	LAR	4400
Jaron	Brown	ARI	4400
Kenny	Stills	MIA	4400
Matt	Breida	SF	4400
Evan	Engram	NYG	4400
Eric	Decker	TEN	4300
Scott	Tolzien	IND	4300
Chad	Henne	JAX	4300
T.J.	Yeldon	JAX	4300
Marqise	Lee	JAX	4300
Blaine	Gabbert	ARI	4300
Andre	Ellington	ARI	4300
Martavis	Bryant	PIT	4300
Austin	Davis	SEA	4300
Adam	Humphries	TB	4200
Ricardo	Louis	CLE	4200
Jamaal	Williams	GB	4200
Sean	Mannion	LAR	4200
Elijah	McGuire	NYJ	4200
Robby	Anderson	NYJ	4200
Jeremy	Maclin	BAL	4200
Hunter	Henry	LAC	4200
Paul	Richardson	SEA	4200
Ted	Ginn Jr.	NO	4100
Frank	Gore	IND	4100
Marlon	Mack	IND	4100
Allen	Hurns	JAX	4100
Jeremy	Kerley	NYJ	4100
Mike	Wallace	BAL	4100
Brock	Osweiler	DEN	4100
Jamaal	Charles	DEN	4100
C.J.	Prosise	SEA	4100
Thomas	Rawls	SEA	4100
Tyler	Lockett	SEA	4100
Joe	Webb	BUF	4000
Nathan	Peterman	BUF	4000
Charles	Clay	BUF	4000
Ryan	Griffin	TB	4000
Jacquizz	Rodgers	TB	4000
Mark	Sanchez	CHI	4000
Brad	Kaaya	CAR	4000
Cody	Kessler	CLE	4000
Isaiah	Crowell	CLE	4000
Kenny	Britt	CLE	4000
Josh	Gordon	CLE	4000
Brandon	Weeden	TEN	4000
Taysom	Hill	NO	4000
Willie	Snead	NO	4000
Brandon	Allen	LAR	4000
Robert	Woods	LAR	4000
Drew	Stanton	ARI	4000
J.J.	Nelson	ARI	4000
Kenyan	Drake	MIA	4000
Bryce	Petty	NYJ	4000
Christian	Hackenberg	NYJ	4000
Teddy	Bridgewater	MIN	4000
Kyle	Sloter	MIN	4000
Latavius	Murray	MIN	4000
Ryan	Mallett	BAL	4000
Alex	Collins	BAL	4000
Jeff	Driskel	CIN	4000
Joshua	Dobbs	PIT	4000
Kellen	Moore	DAL	4000
Paxton	Lynch	DEN	4000
Chad	Kelly	DEN	4000
Kellen	Clemens	LAC	4000
Branden	Oliver	LAC	4000
Tyrell	Williams	LAC	4000
Davis	Webb	NYG	4000
Seahawks		SEA	4000
Malcolm	Brown	LAR	3900
Terrance	West	BAL	3900
Terrance	Williams	DAL	3900
Marquise	Goodwin	SF	3900
Wayne	Gallman	NYG	3900
Eddie	Lacy	SEA	3900
Mike	Tolbert	BUF	3800
Jonathan	Stewart	CAR	3800
Russell	Shepard	CAR	3800
Corey	Grant	JAX	3800
Kyle	Rudolph	MIN	3800
Giovani	Bernard	CIN	3800
JuJu	Smith-Schuster	PIT	3800
Roger	Lewis	NYG	3800
Jordan	Matthews	BUF	3700
Kendall	Wright	CHI	3700
Curtis	Samuel	CAR	3700
Robert	Turbin	IND	3700
Jaguars		JAX	3700
Damien	Williams	MIA	3700
Danny	Woodhead	BAL	3700
Brice	Butler	DAL	3700
Aldrick	Robinson	SF	3700
Orleans	Darkwa	NYG	3700
Zay	Jones	BUF	3600
Panthers		CAR	3600
George	Kittle	SF	3600
De'Angelo	Henderson	DEN	3600
Shane	Vereen	NYG	3600
Brandon	Tate	BUF	3500
Charles	Sims	TB	3500
Ed	Dickson	CAR	3500
Geronimo	Allison	GB	3500
Cowboys		DAL	3500
Devontae	Booker	DEN	3500
Broncos		DEN	3500
Austin	Ekeler	LAC	3500
Andre	Holmes	BUF	3400
Bills		BUF	3400
Kasen	Williams	CLE	3400
Titans		TEN	3400
Jack	Doyle	IND	3400
Jeremy	Hill	CIN	3400
Mike	Williams	LAC	3400
Taywan	Taylor	TEN	3300
Jeff	Janis	GB	3300
Martellus	Bennett	GB	3300
Brandon	Coleman	NO	3300
Donte	Moncrief	IND	3300
Laquon	Treadwell	MIN	3300
Vikings		MIN	3300
Michael	Campanaro	BAL	3300
Brandon	LaFell	CIN	3300
Rod	Smith	DAL	3300
Bennie	Fowler	DEN	3300
Travis	Benjamin	LAC	3300
Paul	Perkins	NYG	3300
Travis	Rudolph	NYG	3300
Ed	Eagan	NYG	3300
Tavarres	King	NYG	3300
J.D.	McKissic	SEA	3300
Markus	Wheaton	CHI	3200
Zach	Miller	CHI	3200
Rashard	Higgins	CLE	3200
