Position	Player	Team	Salary
RB	Le'Veon Bell	PIT	9100
RB	Ezekiel Elliott	DAL	9000
WR	Antonio Brown	PIT	8900
RB	Leonard Fournette	JAX	8600
WR	A.J. Green	CIN	8300
RB	Todd Gurley II	LAR	8200
WR	Dez Bryant	DAL	7800
WR	Mike Evans	TB	7600
QB	Drew Brees	NO	7600
WR	Michael Thomas	NO	7500
RB	LeSean McCoy	BUF	7400
WR	Larry Fitzgerald	ARI	7300
QB	Dak Prescott	DAL	7300
RB	C.J. Anderson	DEN	7200
QB	Cam Newton	CAR	7000
RB	Melvin Gordon	LAC	7000
WR	Kelvin Benjamin	CAR	6900
QB	Marcus Mariota	TEN	6900
WR	Stefon Diggs	MIN	6900
QB	Aaron Rodgers	GB	6800
WR	Jordy Nelson	GB	6800
WR	Jarvis Landry	MIA	6800
RB	Mark Ingram	NO	6700
WR	Adam Thielen	MIN	6700
QB	Carson Palmer	ARI	6600
WR	Doug Baldwin	SEA	6600
RB	David Johnson	ARI	6500
WR	DeVante Parker	MIA	6500
RB	Jordan Howard	CHI	6400
QB	Russell Wilson	SEA	6400
RB	Jerick McKinnon	MIN	6300
WR	Keenan Allen	LAC	6300
RB	DeMarco Murray	TEN	6200
RB	Jay Ajayi	MIA	6200
QB	Ben Roethlisberger	PIT	6200
RB	Christian McCaffrey	CAR	6100
WR	T.Y. Hilton	IND	6100
QB	Jameis Winston	TB	6000
WR	Devin Funchess	CAR	6000
RB	Doug Martin	TB	5900
QB	Sam Bradford	MIN	5900
RB	Carlos Hyde	SF	5900
WR	Emmanuel Sanders	DEN	5900
TE	Delanie Walker	TEN	5800
WR	Davante Adams	GB	5800
QB	Jared Goff	LAR	5800
RB	Adrian Peterson	ARI	5800
WR	Pierre Garcon	SF	5800
WR	Demaryius Thomas	DEN	5800
WR	DeSean Jackson	TB	5700
QB	Andy Dalton	CIN	5700
RB	Darren McFadden	DAL	5700
QB	Derek Anderson	CAR	5600
RB	Alvin Kamara	NO	5600
RB	Derrick Henry	TEN	5500
WR	Rishard Matthews	TEN	5500
RB	Ty Montgomery	GB	5500
QB	Andrew Luck	IND	5500
RB	Alfred Morris	DAL	5400
QB	Trevor Siemian	DEN	5400
WR	Randall Cobb	GB	5300
RB	Javorius Allen	BAL	5300
QB	Philip Rivers	LAC	5300
RB	Aaron Jones	GB	5200
QB	Josh McCown	NYJ	5200
WR	Sterling Shepard	NYG	5200
QB	Tyrod Taylor	BUF	5100
QB	Brett Hundley	GB	5100
RB	Bilal Powell	NYJ	5100
QB	Ryan Fitzpatrick	TB	5000
QB	Kevin Hogan	CLE	5000
QB	Matt Cassel	TEN	5000
QB	Jacoby Brissett	IND	5000
TE	Austin Seferian-Jenkins	NYJ	5000
QB	Case Keenum	MIN	5000
RB	Joe Mixon	CIN	5000
WR	Cole Beasley	DAL	5000
QB	DeShone Kizer	CLE	4900
RB	Duke Johnson Jr.	CLE	4900
WR	John Brown	ARI	4900
QB	C.J. Beathard	SF	4900
TE	Jimmy Graham	SEA	4900
WR	Corey Coleman	CLE	4800
RB	Chris Ivory	JAX	4800
QB	Brian Hoyer	SF	4800
QB	Eli Manning	NYG	4800
TE	Cameron Brate	TB	4700
RB	Tarik Cohen	CHI	4700
QB	Blake Bortles	JAX	4700
QB	Jay Cutler	MIA	4700
WR	Jermaine Kearse	NYJ	4700
QB	Joe Flacco	BAL	4700
QB	AJ McCarron	CIN	4700
QB	Mitchell Trubisky	CHI	4600
TE	Greg Olsen	CAR	4600
QB	Chase Daniel	NO	4600
WR	Cooper Kupp	LAR	4600
WR	Corey Davis	TEN	4500
QB	Matt Moore	MIA	4500
RB	Matt Forte	NYJ	4500
QB	Landry Jones	PIT	4500
RB	James Conner	PIT	4500
QB	Cooper Rush	DAL	4500
TE	Jason Witten	DAL	4500
QB	Cardale Jones	LAC	4500
QB	Geno Smith	NYG	4500
QB	Mike Glennon	CHI	4400
WR	Sammy Watkins	LAR	4400
WR	Jaron Brown	ARI	4400
WR	Kenny Stills	MIA	4400
RB	Matt Breida	SF	4400
TE	Evan Engram	NYG	4400
WR	Eric Decker	TEN	4300
QB	Scott Tolzien	IND	4300
QB	Chad Henne	JAX	4300
RB	T.J. Yeldon	JAX	4300
WR	Marqise Lee	JAX	4300
QB	Blaine Gabbert	ARI	4300
RB	Andre Ellington	ARI	4300
WR	Martavis Bryant	PIT	4300
QB	Austin Davis	SEA	4300
WR	Adam Humphries	TB	4200
WR	Ricardo Louis	CLE	4200
RB	Jamaal Williams	GB	4200
QB	Sean Mannion	LAR	4200
RB	Elijah McGuire	NYJ	4200
WR	Robby Anderson	NYJ	4200
WR	Jeremy Maclin	BAL	4200
TE	Hunter Henry	LAC	4200
WR	Paul Richardson	SEA	4200
WR	Ted Ginn Jr.	NO	4100
RB	Frank Gore	IND	4100
RB	Marlon Mack	IND	4100
WR	Allen Hurns	JAX	4100
WR	Jeremy Kerley	NYJ	4100
WR	Mike Wallace	BAL	4100
QB	Brock Osweiler	DEN	4100
RB	Jamaal Charles	DEN	4100
RB	C.J. Prosise	SEA	4100
RB	Thomas Rawls	SEA	4100
WR	Tyler Lockett	SEA	4100
QB	Joe Webb	BUF	4000
QB	Nathan Peterman	BUF	4000
TE	Charles Clay	BUF	4000
QB	Ryan Griffin	TB	4000
RB	Jacquizz Rodgers	TB	4000
QB	Mark Sanchez	CHI	4000
QB	Brad Kaaya	CAR	4000
QB	Cody Kessler	CLE	4000
RB	Isaiah Crowell	CLE	4000
WR	Kenny Britt	CLE	4000
