Player,Team,Salary
Ben Bishop,DAL,8400
Sergei Bobrovsky,CLS,8200
Andrei Vasilevskiy,TB,8100
Kari Lehtonen,DAL,7900
Peter Budaj,TB,7800
Joonas Korpisalo,CLS,7700
Steven Stamkos,TB,7500
Tyler Seguin,DAL,7400
Thomas Greiss,NYI,7200
Nikita Kucherov,TB,7200
Jamie Benn,DAL,7200
John Tavares,NYI,7100
Jaroslav Halak,NYI,7100
Roberto Luongo,FLA,7000
Cam Atkinson,CLS,6900
James Reimer,FLA,6800
Michael Leighton,TB,6700
Marc-Andre Fleury,VGK,6700
Artemi Panarin,CLS,6600
Kristers Gudlevskis,NYI,6600
Malcolm Subban,VGK,6600
Christopher Gibson,NYI,6500
Samuel Montembeault,FLA,6500
Calvin Pickard,VGK,6500
Mike McKenna,DAL,6500
Maxime Lagace,VGK,6400
Oscar Dansk,VGK,6400
Alexander Radulov,DAL,6300
Aleksander Barkov,FLA,6200
Alexander Wennberg,CLS,6000
Vincent Trocheck,FLA,5900
Jordan Eberle,NYI,5800
Victor Hedman,TB,5800
Jonathan Huberdeau,FLA,5600
Nick Foligno,CLS,5500
Zach Werenski,CLS,5400
Anders Lee,NYI,5300
Radim Vrbata,FLA,5200
Tyler Johnson,TB,5200
Seth Jones,CLS,5100
James Neal,VGK,5100
Jason Spezza,DAL,5100
Ondrej Palat,TB,5000
John Klingberg,DAL,5000
Vladislav Namestnikov,TB,4900
Alex Killorn,TB,4900
Nick Leddy,NYI,4800
Oliver Bjorkstrand,CLS,4700
Evgenii Dadonov,FLA,4700
Aaron Ekblad,FLA,4700
Jonathan Marchessault,VGK,4600
Johnny Boychuk,NYI,4500
Keith Yandle,FLA,4500
Brett Ritchie,DAL,4500
Boone Jenner,CLS,4400
Josh Bailey,NYI,4400
Mattias Janmark,DAL,4400
Brandon Dubinsky,CLS,4300
Sonny Milano,CLS,4300
Vadim Shipachyov,VGK,4300
Joshua Ho-Sang,NYI,4200
Brayden Point,TB,4200
Ryan Callahan,TB,4200
David Perron,VGK,4200
Martin Hanzal,DAL,4200
Brock Nelson,NYI,4100
Reilly Smith,VGK,4100
Mathew Barzal,NYI,4000
Andrew Ladd,NYI,3900
Jamie McGinn,FLA,3900
Pierre-Luc Dubois,CLS,3800
Anthony Beauvillier,NYI,3800
Cody Eakin,VGK,3700
Shea Theodore,VGK,3700
Josh Anderson,CLS,3600
Jack Johnson,CLS,3600
Nick Bjugstad,FLA,3600
Michael Matheson,FLA,3600
William Karlsson,VGK,3600
Matt Calvert,CLS,3500
Calvin de Haan,NYI,3500
Yanni Gourde,TB,3500
Devin Shore,DAL,3500
