Name,Team,Salary
DeMarcus Cousins,SAC,11100
Anthony Davis,NOP,11000
Russell Westbrook,OKC,10700
Kevin Durant,OKC,10600
Blake Griffin,LAC,9900
Chris Paul,LAC,9800
LaMarcus Aldridge,POR,9600
Carmelo Anthony,NYK,9600
Nikola Vucevic,ORL,9300
Damian Lillard,POR,8900
Ty Lawson,DEN,8700
Marc Gasol,MEM,8600
Michael Carter-Williams,PHI,8500
Zach Randolph,MEM,8500
DeAndre Jordan,LAC,8300
Jrue Holiday,NOP,8000
Rudy Gay,SAC,7900
Tyreke Evans,NOP,7500
Derrick Favors,UTA,7400
Gordon Hayward,UTA,7400
Mike Conley,MEM,7300
Victor Oladipo,ORL,7100
Andrew Wiggins,MIN,7100
Darren Collison,SAC,6900
Gorgui Dieng,MIN,6900
Kenneth Faried,DEN,6900
Jarrett Jack,BRK,6800
Ricky Rubio,MIN,6800
Serge Ibaka,OKC,6700
Kevin Martin,MIN,6600
Jared Sullinger,BOS,6600
Thaddeus Young,MIN,6400
Tobias Harris,ORL,6400
Rudy Gobert,UTA,6400
Nikola Pekovic,MIN,6300
Tony Wroten,PHI,6300
Mason Plumlee,BRK,6300
Brook Lopez,BRK,6200
Shabazz Muhammad,MIN,6200
Enes Kanter,UTA,6000
Elfrid Payton,ORL,6000
Evan Turner,BOS,6000
Wesley Matthews,POR,6000
Joe Johnson,BRK,6000
Nerlens Noel,PHI,5800
Mo Williams,MIN,5800
Arron Afflalo,DEN,5800
Trey Burke,UTA,5700
Deron Williams,BRK,5700
Nicolas Batum,POR,5600
Wilson Chandler,DEN,5500
Robert Covington,PHI,5500
Eric Gordon,NOP,5500
Amar'e Stoudemire,NYK,5500
Jeff Green,MEM,5300
Tim Hardaway Jr.,NYK,5300
Robin Lopez,POR,5200
Jamal Crawford,LAC,5100
Avery Bradley,BOS,5100
Reggie Jackson,OKC,4900
Kelly Olynyk,BOS,4900
J.J. Hickson,DEN,4900
Matt Barnes,LAC,4900
Dion Waiters,OKC,4900
Brandon Bass,BOS,4800
Cole Aldrich,NYK,4800
Langston Galloway,NYK,4800
Nate Robinson,BOS,4800
Jose Calderon,NYK,4800
Jusuf Nurkic,DEN,4800
Ryan Anderson,NOP,4800
J.J. Redick,LAC,4700
Chris Kaman,POR,4700
Omer Asik,NOP,4700
Marcus Smart,BOS,4600
Jameer Nelson,DEN,4600
K.J. McDaniels,PHI,4400
Channing Frye,ORL,4400
Kevin Garnett,BRK,4300
Courtney Lee,MEM,4300
Tyler Zeller,BOS,4300
Steven Adams,OKC,4300
Luc Richard Mbah a Moute,PHI,4300
Ben McLemore,SAC,4200
Alexis Ajinca,NOP,4200
Jason Smith,NYK,4200
Joe Ingles,UTA,4100
Jason Thompson,SAC,4100
Joel Freeland,POR,4100
Dante Cunningham,NOP,4100
Lance Thomas,NYK,4000
Henry Sims,PHI,4000
Tony Allen,MEM,4000
Thomas Robinson,POR,4000
Andrea Bargnani,NYK,3900
Beno Udrih,MEM,3900
Meyers Leonard,POR,3900
Cory Jefferson,BRK,3900
Derrick Williams,SAC,3900
Vince Carter,MEM,3800
Louis Amundson,NYK,3800
