Nmae,Team,Salary
LeBron James,CLE,11000
Stephen Curry,GSW,9800
Pau Gasol,CHI,9200
John Wall,WAS,9100
Kevin Love,CLE,8800
Marc Gasol,MEM,8600
Klay Thompson,GSW,8600
Greg Monroe,DET,8600
Kyle Lowry,TOR,8600
Zach Randolph,MEM,8500
Kyrie Irving,CLE,8500
Andre Drummond,DET,8400
Jimmy Butler,CHI,8200
Chris Bosh,MIA,8200
Monta Ellis,DAL,7800
Dwyane Wade,MIA,7800
Rajon Rondo,DAL,7400
Brandon Knight,MIL,7300
Mike Conley,MEM,7300
Draymond Green,GSW,7300
Dirk Nowitzki,DAL,7100
Derrick Rose,CHI,7000
Tyson Chandler,DAL,6900
DeMar DeRozan,TOR,6800
David West,IND,6500
Jonas Valanciunas,TOR,6100
Taj Gibson,CHI,6000
Brad Beal,WAS,6000
D.J. Augustin,DET,6000
Luol Deng,MIA,6000
Hassan Whiteside,MIA,6000
J.R. Smith,CLE,6000
Chandler Parsons,DAL,6000
Joakim Noah,CHI,5900
Andrew Bogut,GSW,5800
Giannis Antetokounmpo,MIL,5800
Zaza Pachulia,MIL,5700
Tristan Thompson,CLE,5700
Marcin Gortat,WAS,5700
Nene Hilario,WAS,5700
Roy Hibbert,IND,5600
David Lee,GSW,5600
Khris Middleton,MIL,5500
Jordan Hill,LAL,5500
Louis Williams,TOR,5300
Jeff Green,MEM,5300
George Hill,IND,5200
C.J. Miles,IND,5200
Paul Pierce,WAS,5100
Carlos Boozer,LAL,5100
Larry Sanders,MIL,5100
Timofey Mozgov,CLE,5100
Mario Chalmers,MIA,5000
Marreese Speights,GSW,4900
Amir Johnson,TOR,4900
Ed Davis,LAL,4900
Kris Humphries,WAS,4800
O.J. Mayo,MIL,4800
Jeremy Lin,LAL,4800
Rodney Stuckey,IND,4700
Greivis Vasquez,TOR,4700
Kentavious Caldwell-Pope,DET,4700
Josh McRoberts,MIA,4600
Patrick Patterson,TOR,4600
Harrison Barnes,GSW,4500
John Henson,MIL,4500
Anderson Varejao,CLE,4500
Wesley Johnson,LAL,4400
Donald Sloan,IND,4400
Iman Shumpert,CLE,4400
Jared Dudley,MIL,4400
Nick Young,LAL,4400
C.J. Watson,IND,4400
Ersan Ilyasova,MIL,4300
Courtney Lee,MEM,4300
Aaron Brooks,CHI,4200
Wayne Ellington,LAL,4200
Mike Dunleavy,CHI,4200
James Johnson,TOR,4100
Luis Scola,IND,4100
Tony Allen,MEM,4000
Anthony Tolliver,DET,4000
Chris Andersen,MIA,4000
Jodie Meeks,DET,4000
Andre Iguodala,GSW,4000
Jerryd Bayless,MIL,4000
Beno Udrih,MEM,3900
Lavoy Allen,IND,3900
Ian Mahinmi,IND,3900
Solomon Hill,IND,3900
Vince Carter,MEM,3800
Kevin Seraphin,WAS,3800
Devin Harris,DAL,3700
Damjan Rudez,IND,3700
Dwight Powell,DAL,3600
Shaun Livingston,GSW,3600
James Ennis,MIA,3600
Kenyon Martin,MIL,3600
Ronnie Price,LAL,3600
Raymond Felton,DAL,3600
Tony Snell,CHI,3600
Nikola Mirotic,CHI,3600
Russ Smith,MEM,3500
Justin Hamilton,MIA,3500
Kendall Marshall,MIL,3500
James Michael McAdoo,GSW,3500
Johnny O'Bryant,MIL,3500
Will Cherry,CLE,3500
Jordan Adams,MEM,3500
Ricky Ledo,DAL,3500
Chris Copeland,IND,3500
Ognjen Kuzmic,GSW,3500
Shayne Whittington,IND,3500
Lucas Nogueira,TOR,3500
Nemanja Nedovic,GSW,3500
Damien Inglis,MIL,3500
Bruno Caboclo,TOR,3500
Nick Calathes,MEM,3500
Luigi Datome,DET,3500
Jordan Clarkson,LAL,3500
Matthew Dellavedova,CLE,3500
Kalin Lucas,MEM,3500
Greg Smith,DAL,3500
Justin Holiday,GSW,3500
Terrence Ross,TOR,3500
Joe Harris,CLE,3500
Jarnell Stokes,MEM,3500
Tarik Black,LAL,3500
Robert Sacre,LAL,3500
Tyler Johnson,MIA,3500
Doug McDermott,CHI,3500
Cameron Bairstow,CHI,3500
Festus Ezeli,GSW,3500
Nazr Mohammed,CHI,3500
Andre Miller,WAS,3500
Leandro Barbosa,GSW,3500
Udonis Haslem,MIA,3500
Rasual Butler,WAS,3500
Martell Webster,WAS,3500
Richard Jefferson,DAL,3500
Caron Butler,DET,3500
Mike Miller,CLE,3500
Kosta Koufos,MEM,3500
Tyler Hansbrough,TOR,3500
Brandon Rush,GSW,3500
Jose Juan Barea,DAL,3500
Tyrus Thomas,MEM,3500
Kirk Hinrich,CHI,3500
Shawn Marion,CLE,3500
Drew Gooden,WAS,3500
Danny Granger,MIA,3500
Chuck Hayes,TOR,3500
Charlie Villanueva,DAL,3500
Brendan Haywood,CLE,3500
A.J. Price,CLE,3500
Kyle Singler,DET,3500
Norris Cole,MIA,3500
Landry Fields,TOR,3500
Jon Leuer,MEM,3500
E'Twaun Moore,CHI,3500
Ryan Kelly,LAL,3500
Shabazz Napier,MIA,3500
Spencer Dinwiddie,DET,3500
Xavier Henry,LAL,3500
Al-Farouq Aminu,DAL,3500
Cartier Martin,DET,3500
James Jones,CLE,3500
Joel Anthony,DET,3500
Shawne Williams,MIA,3500
DeJuan Blair,WAS,3500
Greg Stiemsma,TOR,3500
Garrett Temple,WAS,3500
Jonas Jerebko,DET,3500
Otto Porter,WAS,3500
