Name,Team,Salary
Aaron Ekblad,FLA,5853
Adam Burish,SJ,2602
Adam Clendening,CHI,3661
Adam Cracknell,CBJ,1949
Adam Henrique,NJ,6150
Adam Larsson,NJ,3857
Adam Lowry,WPG,4521
Adam McQuaid,BOS,3058
Adam Pardy,WPG,3071
Alec Martinez,LA,5190
Aleksander Barkov,FLA,4173
Ales Hemsky,DAL,5180
Alex Burrows,VAN,5275
Alex Chiasson,OTT,4904
Alex Galchenyuk,MTL,6354
Alex Goligoski,DAL,5742
Alex Khokhlachev,BOS,936
Alex Killorn,TB,5376
Alex Ovechkin,WSH,7659
Alex Pietrangelo,STL,6132
Alex Steen,STL,7524
Alex Tanguay,COL,6614
Alexander Edler,VAN,4848
Alexander Semin,CAR,3745
Alexander Wennberg,CBJ,3363
Alexei Emelin,MTL,4409
Anders Lee,NYI,5219
Andre Benoit,BUF,3403
Andre Burakovsky,WSH,4910
Andrei Markov,MTL,5967
Andrej Meszaros,BUF,3500
Andrej Nestrasil,DET/CAR,3128
Andrej Sekera,CAR,4850
Andrej Sustr,TB,3696
Andrew Agozzino,COL,5596
Andrew Campbell,ARI,1076
Andrew Cogliano,ANA,4542
Andrew Desjardins,SJ,3563
Andrew Ebbett,PIT,3084
Andrew Ference,EDM,4027
Andrew Greene,NJ,4559
Andrew Ladd,WPG,7355
Andrew MacDonald,PHI,3986
Andrew Shaw,CHI,4489
Andy Andreoff,LA,1426
Anthony Bitetto,NSH,897
Anthony Duclair,NYR,3637
Anthony Peluso,WPG,2617
Antoine Roussel,DAL,5580
Antoine Vermette,ARI,6358
Anton Lander,EDM,2904
Anton Stralman,TB,5571
Anton Volchenkov,NSH,3113
Anze Kopitar,LA,7026
Artem Anisimov,CBJ,3580
B j  Crombeen,ARI,2781
Barclay Goodrow,SJ,3525
Barret Jackman,STL,4498
Beau Bennett,PIT,3961
Ben Chiarot,WPG,3200
Ben Lovejoy,ANA,3571
Ben Smith,CHI,4230
Ben Street,COL,1091
Benoit Pouliot,EDM,5062
Blair Jones,PHI,945
Blake Comeau,PIT,5483
Blake Wheeler,WPG,6912
Bo Horvat,VAN,3723
Bobby Farnham,PIT,1361
Bobby Robins,BOS,924
Bobby Ryan,OTT,6691
Bogdan Yakimov,EDM,781
Boone Jenner,CBJ,4912
Borna Rendulic,COL,2303
Boyd Gordon,EDM,4068
Brad Boyes,FLA,5330
Brad Hunt,EDM,2845
Brad Malone,CAR,3375
Brad Marchand,BOS,5833
Brad Richards,CHI,6039
Brad Richardson,VAN,5291
Brad Stuart,COL,3574
Brandon Bollig,CGY,2896
Brandon Davidson,EDM,1027
Brandon Defazio,VAN,1022
Brandon Dubinsky,CBJ,5027
Brandon Gormley,ARI,2705
Brandon Kozun,TOR,1904
Brandon Manning,PHI,3148
Brandon McMillan,ARI,3378
Brandon Pirri,FLA,3215
Brandon Prust,MTL,4346
Brandon Saad,CHI,6584
Brandon Sutter,PIT,4987
Brayden McNabb,LA,4403
Brayden Schenn,PHI,6279
Braydon Coburn,PHI,3466
Brendan Gallagher,MTL,5977
Brendan Shinnimin,ARI,962
Brendan Smith,DET,3862
Brendan Woods,CAR,775
Brenden Dillon,DAL/SJ,4173
Brenden Morrow,TB,3464
BrenTBurns,SJ,6820
Brent Seabrook,CHI,5829
BretTBellemore,CAR,2742
Brett Connolly,TB,3857
Brett Ritchie,DAL,3919
Brett Sutter,MIN,3892
Brian Boyle,TB,4583
Brian Campbell,FLA,4461
Brian Dumoulin,PIT,1980
Brian Flynn,BUF,4390
Brian Gibbons,CBJ,3076
Brian Gionta,BUF,4255
Brian Lashoff,DET,2338
Brian McGrattan,CGY,1309
Brian Strait,NYI,3028
Brock Nelson,NYI,6375
Brody Sutter,CAR,974
Brooks Laich,WSH,4267
Brooks Orpik,WSH,4301
Bryan Allen,ANA/MTL,2343
Bryan Bickell,CHI,5270
Bryan Little,WPG,7174
Bryan Rust,PIT,2356
Bryce Salvador,NJ,2292
Cal Clutterbuck,NYI,4104
