Name,Team,Salary
Andrew Luck,IND,10100
Peyton Manning,DEN,10000
DeMarco Murray,DAL,9600
Arian Foster,HOU,9400
Demaryius Thomas,DEN,9200
Drew Brees,NO,9100
Jamaal Charles,KC,9000
Tom Brady,NE,9000
Antonio Brown,PIT,9000
Philip Rivers,SD,8800
Dez Bryant,DAL,8800
Le'Veon Bell,PIT,8700
Russell Wilson,SEA,8600
Giovani Bernard,CIN,8500
Andy Dalton,CIN,8500
Jeremy Maclin,PHI,8400
AJ Green,CIN,8400
Nick Foles,PHI,8400
Marshawn Lynch,SEA,8200
Emmanuel Sanders,DEN,8200
Tony Romo,DAL,8200
TY Hilton,IND,8100
Ben Roethlisberger,PIT,8000
Rob Gronkowski,NE,7900
Ryan Tannehill,MIA,7900
Carson Palmer,ARI,7800
Julius Thomas,DEN,7800
DeSean Jackson,WAS,7800
LeSean McCoy,PHI,7800
Cam Newton,CAR,7800
Colin Kaepernick,SF,7800
Andre Ellington,ARI,7700
Eli Manning,NYG,7600
Ahmad Bradshaw,IND,7500
Joe Flacco,BAL,7300
Lamar Miller,MIA,7300
Greg Olsen,CAR,7200
Robert Griffin III,WAS,7200
Mike Wallace,MIA,7200
Steve Smith,BAL,7200
Ronnie Hillman,DEN,7200
Mohamed Sanu,CIN,7200
Frank Gore,SF,7200
Alex Smith,KC,7100
Antonio Gates,SD,7100
Rashad Jennings,NYG,7000
Jimmy Graham,NO,7000
Austin Davis,STL,7000
Branden Oliver,SD,7000
Kelvin Benjamin,CAR,7000
Montee Ball,DEN,6900
Brandon LaFell,NE,6900
Ben Tate,CLE,6900
Pierre Garcon,WAS,6900
Larry Fitzgerald,ARI,6900
Andre Johnson,HOU,6900
Michael Vick,NYJ,6900
DeAndre Hopkins,HOU,6900
Reggie Wayne,IND,6800
Terrance Williams,DAL,6800
Derek Carr,OAK,6800
Julian Edelman,NE,6800
Alfred Morris,WAS,6800
Kirk Cousins,WAS,6800
Chris Ivory,NYJ,6700
Pierre Thomas,NO,6700
Marques Colston,NO,6700
Denard Robinson,JAX,6700
Vincent Jackson,TB,6700
Michael Crabtree,SF,6700
Keenan Allen,SD,6700
Doug Baldwin,SEA,6700
Shane Vereen,NE,6600
Odell Beckham Jr,NYG,6600
Matt Simms,NYJ,6500
Mike Glennon,TB,6500
Geno Smith,NYJ,6500
Juwan Thompson,DEN,6500
Allen Robinson,JAX,6500
Michael Floyd,ARI,6500
Andre Holmes,OAK,6500
Justin Forsett,BAL,6500
Lorenzo Taliaferro,BAL,6400
Brandin Cooks,NO,6400
Ryan Mathews,SD,6400
Andrew Hawkins,CLE,6400
Rueben Randle,NYG,6400
Knile Davis,KC,6400
John Brown,ARI,6400
Percy Harvin,NYJ,6400
Ryan Fitzpatrick,HOU,6400
Wes Welker,DEN,6300
Zac Stacy,STL,6300
Doug Martin,TB,6300
Martavis Bryant,PIT,6300
Ryan Mallett,HOU,6300
Anquan Boldin,SF,6300
Cordarrelle Patterson,MIN,6300
Jerick McKinnon,MIN,6300
Dwayne Bowe,KC,6200
Donte Moncrief,IND,6200
Dwayne Allen,IND,6200
Eric Decker,NYJ,6200
Louis Murphy,TB,6200
Blake Bortles,JAX,6200
Bobby Rainey,TB,6200
Andre Williams,NYG,6200
Brian Hoyer,CLE,6200
Mark Ingram,NO,6100
Cecil Shorts,JAX,6100
Torrey Smith,BAL,6100
Darren Sproles,PHI,6100
Colt McCoy,WAS,6100
Darren McFadden,OAK,6000
Chad Henne,JAX,6000
Kenny Stills,NO,6000
Greg Jennings,MIN,6000
Jonas Gray,NE,6000
Donald Brown,SD,6000
Mike Evans,TB,6000
Stepfan Taylor,ARI,6000
Brian Quick,STL,5900
Travis Benjamin,CLE,5900
Trent Richardson,IND,5900
Teddy Bridgewater,MIN,5900
Jordan Matthews,PHI,5900
Markus Wheaton,PIT,5900
Eddie Royal,SD,5900
Carlos Hyde,SF,5800
Tim Wright,NE,5800
Josh McCown,TB,5800
Jason Witten,DAL,5700
Steve Johnson,SF,5700
Vernon Davis,SF,5700
Chris Johnson,NYJ,5700
DeAngelo Williams,CAR,5700
Christian Ponder,MIN,5700
Matt Asiata,MIN,5700
Derek Anderson,CAR,5700
James Jones,OAK,5600
Bengals,CIN,5600
Malcom Floyd,SD,5600
Matt Schaub,OAK,5500
Bernard Pierce,BAL,5500
Owen Daniels,BAL,5500
Logan Thomas,ARI,5500
Johnny Manziel,CLE,5500
Seahawks,SEA,5500
Jordan Reed,WAS,5500
Brandon Tate,CIN,5400
Travis Kelce,KC,5400
Dan Bailey,DAL,5400
Silas Redd,WAS,5400
Zach Ertz,PHI,5400
Heath Miller,PIT,5400
Foswhitt Whittaker,,5400
Larry Donnell,NYG,5400
Tre Mason,STL,5400
Stephen Gostkowski,NE,5400
Kenny Britt,STL,5300
Storm Johnson,JAX,5300
Justin Tucker,BAL,5300
Jonathan Stewart,CAR,5300
Chiefs,KC,5300
Gavin Escobar,DAL,5300
Travaris Cadet,NO,5300
Benny Cunningham,STL,5300
Riley Cooper,PHI,5300
Brandon Lloyd,SF,5300
Jeremy Hill,CIN,5200
Fortyniners,SF,5200
Jarvis Landry,MIA,5200
Drew Stanton,ARI,5200
Jordan Cameron,CLE,5200
Clay Harbor,JAX,5200
Roy Helu,WAS,5200
Colts,IND,5200
