Player,Team,Salary
Anthony Davis  ,NOP,10400
LeBron James  ,CLE,9800
Stephen Curry  ,GSW,9500
Andre Drummond  ,DET,8200
Pau Gasol  ,CHI,8000
Reggie Jackson  ,DET,7800
Paul Millsap  ,ATL,7700
Jimmy Butler  ,CHI,7600
Kevin Love  ,CLE,7500
Al Horford  ,ATL,7300
Klay Thompson  ,GSW,7200
Jeff Teague  ,ATL,7000
Draymond Green  ,GSW,6900
Derrick Rose  ,CHI,6500
Nikola Mirotic  ,CHI,6400
Joakim Noah  ,CHI,6000
Ersan Ilyasova  ,DET,5700
Eric Gordon  ,NOP,5200
Jrue Holiday  ,NOP,5100
Andrew Bogut  ,GSW,5000
Ryan Anderson  ,NOP,5000
Mo Williams  ,CLE,4900
Kyle Korver  ,ATL,4900
J.R. Smith  ,CLE,4800
Kentavious Caldwell-Pope  ,DET,4700
Stanley Johnson  ,DET,4700
Harrison Barnes  ,GSW,4600
Tristan Thompson  ,CLE,4600
Timofey Mozgov  ,CLE,4600
Marcus Morris  ,DET,4500
Tiago Splitter  ,ATL,4500
Dennis Schroder  ,ATL,4400
Aaron Brooks  ,CHI,4400
Andre Iguodala  ,GSW,4300
Taj Gibson  ,CHI,3900
Tim Hardaway Jr.  ,ATL,3700
Anderson Varejao  ,CLE,3400
Shaun Livingston  ,GSW,3400
Festus Ezeli  ,GSW,3000
Thabo Sefolosha  ,ATL,3000
Matthew Dellavedova  ,CLE,3000
Jason Thompson  ,GSW,3000
Tony Snell  ,CHI,3000
Jodie Meeks  ,DET,3000
Mike Muscala  ,ATL,3000
Nate Robinson  ,NOP,3000
Marreese Speights  ,GSW,3000
Aron Baynes  ,DET,3000
Alonzo Gee  ,NOP,3000
Leandro Barbosa  ,GSW,3000
Richard Jefferson  ,CLE,3000
Steve Blake  ,DET,3000
Kendrick Perkins  ,NOP,3000
James McAdoo  ,GSW,3000
Dante cunningham  ,NOP,3000
Shelvin Mack  ,ATL,3000
Luke Babbitt  ,NOP,3000
Anthony Tolliver  ,DET,3000
Kent Bazemore  ,ATL,3000
