Name,Team,Salary
James Harden,HOU,10800
LeBron James,CLE,10600
John Wall,WAS,8300
Kawhi Leonard,SAS,8100
Derrick Favors,UTA,7800
Rudy Gobert,UTA,7800
Kevin Love,CLE,7600
Kyrie Irving,CLE,7600
Dwight Howard,HOU,7500
Marc Gasol,MEM,7500
Gordon Hayward,UTA,7500
Zach Randolph,MEM,7000
Terrence Jones,HOU,6900
Giannis Antetokounmpo,MIL,6900
Marcin Gortat,WAS,6600
Tim Duncan,SAS,6500
George Hill,IND,6500
Michael CarterWilliams,MIL,6500
Josh Smith,HOU,6300
Rodney Stuckey,IND,6300
Khris Middleton,MIL,6300
Mike Conley,MEM,6100
Tony Parker,SAS,5900
Andrea Bargnani,NYK,5800
Trevor Ariza,HOU,5700
David West,IND,5600
J.R. Smith,CLE,5600
Brad Beal,WAS,5500
Jordan Hill,LAL,5400
Jordan Clarkson,LAL,5400
Donatas Motiejunas,HOU,5300
Timofey Mozgov,CLE,5100
Jeff Green,MEM,5000
Danny Green,SAS,5000
Wayne Ellington,LAL,5000
Jeremy Lin,LAL,5000
Paul George,,5000
Alexey Shved,NYK,5000
Trey Burke,UTA,5000
Ed Davis,LAL,4900
Carlos Boozer,LAL,4600
Nene Hilario,WAS,4500
Ersan Ilyasova,MIL,4500
Wesley Johnson,LAL,4500
Paul Pierce,WAS,4400
Roy Hibbert,IND,4400
Luis Scola,IND,4200
Tony Allen,MEM,4200
Patrick Beverley,HOU,4200
Langston Galloway,NYK,4200
Corey Brewer,HOU,4100
Manu Ginobili,SAS,4000
C.J. Miles,IND,4000
Jose Calderon,NYK,4000
Tristan Thompson,CLE,4000
O.J. Mayo,MIL,3800
John Henson,MIL,3800
Solomon Hill,IND,3800
Tim Hardaway Jr.,NYK,3700
C.J. Watson,IND,3600
Ian Mahinmi,IND,3600
Cole Aldrich,NYK,3600
Zaza Pachulia,MIL,3500
Nick Young,LAL,3500
Joe Ingles,UTA,3500
Jared Dudley,MIL,3400
Jason Smith,NYK,3400
Jerryd Bayless,MIL,3400
Damjan Rudez,IND,3400
Courtney Lee,MEM,3300
Tiago Splitter,SAS,3300
Iman Shumpert,CLE,3300
Matthew Dellavedova,CLE,3300
Tarik Black,LAL,3300
Rodney Hood,UTA,3300
Louis Amundson,NYK,3200
Trevor Booker,UTA,3200
Marco Belinelli,SAS,3200
Dante Exum,UTA,3200
Boris Diaw,SAS,3100
Elijah Millsap,UTA,3100
Cleanthony Early,NYK,3100
Vince Carter,MEM,3000
Shawn Marion,CLE,3000
Jason Terry,HOU,3000
Mike Miller,CLE,3000
Brendan Haywood,CLE,3000
Matt Bonner,SAS,3000
James Jones,CLE,3000
Ronnie Price,LAL,3000
Drew Gooden,WAS,3000
Rasual Butler,WAS,3000
Chris Copeland,IND,3000
Kendrick Perkins,CLE,3000
Kris Humphries,WAS,3000
Beno Udrih,MEM,3000
Garrett Temple,WAS,3000
Joey Dorsey,HOU,3000
Ramon Sessions,WAS,3000
Reggie Williams,SAS,3000
Martell Webster,WAS,3000
Jeff Ayres,SAS,3000
Aron Baynes,SAS,3000
Lance Thomas,NYK,3000
Donald Sloan,IND,3000
Jeremy Evans,UTA,3000
Kosta Koufos,MEM,3000
Jon Leuer,MEM,3000
Nick Calathes,MEM,3000
Robert Sacre,LAL,3000
DeJuan Blair,WAS,3000
Lavoy Allen,IND,3000
Patty Mills,SAS,3000
JaMychal Green,MEM,3000
Chris Johnson,,3000
Miles Plumlee,MIL,3000
Quincy Acy,NYK,3000
Travis Wear,NYK,3000
Ian Clark,UTA,3000
Shayne Whittington,IND,3000
Ryan Kelly,LAL,3000
Jerrelle Benimon,UTA,3000
Joe Harris,CLE,3000
Kevin Seraphin,WAS,3000
Pablo Prigioni,HOU,3000
Cory Joseph,SAS,3000
Russ Smith,MEM,3000
Bryce Cotton,UTA,3000
Nick Johnson,HOU,3000
Johnny O'Bryant,MIL,3000
K.J. McDaniels,HOU,3000
Jabari Brown,LAL,3000
Otto Porter,WAS,3000
Shane Larkin,NYK,3000
Jarnell Stokes,MEM,3000
Kostas Papanikolaou,HOU,3000
Grant Jerrett,UTA,3000
Jordan Adams,MEM,3000
Kyle Anderson,SAS,3000
Tyler Ennis,MIL,3000
Clint Capela,HOU,3000
Alec Burks,UTA,5000
