Player;Team;Salary
Anthony Davis;NO;10500
DeMarcus Cousins;NO;10400
LeBron James;CLE;9600
Damian Lillard;POR;8500
John Wall;WAS;8400
Nikola Jokic;DEN;8200
Blake Griffin;LAC;7900
Kristaps Porzingis;NY;7800
Kawhi Leonard;SA;7700
Paul Millsap;DEN;7500
D'Angelo Russell;BKN;7300
Lonzo Ball;LAL;7200
DeAndre Jordan;LAC;7000
Kevin Love;CLE;7000
Jusuf Nurkic;POR;6600
C.J. McCollum;POR;6500
Tim Hardaway Jr.;NY;6400
Isaiah Thomas;CLE;6300
Julius Randle;LAL;6300
Bradley Beal;WAS;6200
Kyle Kuzma;LAL;6200
Danilo Gallinari;LAC;6100
LaMarcus Aldridge;SA;6000
Jeremy Lin;BKN;5900
Jrue Holiday;NO;5800
Rajon Rondo;NO;5700
Brook Lopez;LAL;5700
Enes Kanter;NY;5600
Jamal Murray;DEN;5500
Nikola Mirotic;CHI;5500
De'Aaron Fox;SAC;5500
Rondae Hollis-Jefferson;BKN;5500
Gary Harris;DEN;5400
Mason Plumlee;DEN;5400
Buddy Hield;SAC;5400
Will Barton;DEN;5300
Skal Labissiere;SAC;5300
Guillermo Hernangomez;NY;5300
Wilson Chandler;DEN;5200
Kris Dunn;CHI;5200
Otto Porter;WAS;5100
Emmanuel Mudiay;DEN;5100
Brandon Ingram;LAL;5100
Willie Cauley-Stein;SAC;5100
Lou Williams;LAC;5000
Markieff Morris;WAS;5000
Zach LaVine;CHI;5000
Caris LeVert;BKN;5000
Patrick Beverley;LAC;4900
Juancho Hernangomez;DEN;4900
Kenneth Faried;DEN;4900
Bobby Portis;CHI;4900
Lauri Markkanen;CHI;4900
Allen Crabbe;BKN;4900
Sean Kilpatrick;BKN;4900
Dwyane Wade;CLE;4800
Trey Lyles;DEN;4800
Rudy Gay;SA;4800
Kentavious Caldwell-Pope;LAL;4800
Jordan Clarkson;LAL;4800
George Hill;SAC;4800
Frank Mason III;SAC;4800
Caleb Swanigan;POR;4700
Kelly Oubre Jr.;WAS;4700
Dejounte Murray;SA;4700
Trevor Booker;BKN;4700
Michael Beasley;NY;4700
Milos Teodosic;LAC;4600
Austin Rivers;LAC;4600
Zach Collins;POR;4600
Ivica Zubac;LAL;4600
Harry Giles;SAC;4600
DeMarre Carroll;BKN;4600
Maurice Harkless;POR;4500
Kyle Anderson;SA;4500
Denzel Valentine;CHI;4500
Matt Jones;SAC;4500
Frank Ntilikina;NY;4500
Evan Turner;POR;4400
Al-Farouq Aminu;POR;4400
Kay Felder;CLE;4400
Justin Holiday;CHI;4400
Larry Nance Jr.;LAL;4400
Josh Hart;LAL;4400
Zach Randolph;SAC;4400
Courtney Lee;NY;4400
Jae Crowder;CLE;4300
Tomas Satoransky;WAS;4300
Marcin Gortat;WAS;4300
Pau Gasol;SA;4300
Patty Mills;SA;4300
E'Twaun Moore;NO;4300
Jerian Grant;CHI;4300
