Player,Team,Salary
Russell Westbrook,OKC,11000
Blake Griffin,LAC,9600
DeMar DeRozan,TOR,8300
Paul George,OKC,8100
Kyle Lowry,TOR,7900
Kristaps Porzingis,NY,7700
DeAndre Jordan,LAC,7500
Carmelo Anthony,OKC,7200
Lonzo Ball,LAL,6800
Brook Lopez,LAL,6500
Danilo Gallinari,LAC,6200
Bobby Portis,CHI,6000
Justin Holiday,CHI,5900
Julius Randle,LAL,5800
Tim Hardaway Jr.,NY,5800
Steven Adams,OKC,5700
Enes Kanter,NY,5600
Lauri Markkanen,CHI,5600
Nikola Mirotic,CHI,5500
Serge Ibaka,TOR,5400
Jerian Grant,CHI,5300
Robin Lopez,CHI,5200
Brandon Ingram,LAL,5100
Lou Williams,LAC,5000
Guillermo Hernangomez,NY,5000
Kris Dunn,CHI,5000
Milos Teodosic,LAC,4900
Denzel Valentine,CHI,4900
Patrick Beverley,LAC,4800
Kyle Kuzma,LAL,4800
Jonas Valanciunas,TOR,4800
Norman Powell,TOR,4700
Austin Rivers,LAC,4600
Zach LaVine,CHI,4500
Kentavious Caldwell-Pope,LAL,4400
Jordan Clarkson,LAL,4300
Larry Nance Jr.,LAL,4300
Paul Zipser,CHI,4200
Ramon Sessions,NY,4100
Courtney Lee,NY,4000
Joakim Noah,NY,4000
Cristiano Felicio,CHI,4000
Michael Beasley,NY,3900
Ivica Zubac,LAL,3800
Luol Deng,LAL,3700
Doug McDermott,NY,3700
Andre Roberson,OKC,3700
C.J. Miles,TOR,3700
Frank Ntilikina,NY,3600
Patrick Patterson,OKC,3600
Josh Hart,LAL,3500
Kyle O'Quinn,NY,3500
Delon Wright,TOR,3500
Thomas Bryant,LAL,3400
Corey Brewer,LAL,3300
Quincy Pondexter,CHI,3300
Lucas Nogueira,TOR,3300
Sam Dekker,LAC,3200
Tyler Ennis,LAL,3200
Jarrett Jack,NY,3200
Alex Abrines,OKC,3200
Kay Felder,CHI,3200
Wesley Johnson,LAC,3100
Mindaugas Kuzminskas,NY,3100
Jerami Grant,OKC,3100
Raymond Felton,OKC,3100
Jakob Poeltl,TOR,3100
Sindarius Thornwell,LAC,3000
Montrezl Harrell,LAC,3000
Jawun Evans,LAC,3000
C.J. Williams,LAC,3000
Brice Johnson,LAC,3000
Jamil Wilson,LAC,3000
Willie Reed,LAC,3000
Alex Caruso,LAL,3000
Andrew Bogut,LAL,3000
Damyean Dotson,NY,3000
Luke Kornet,NY,3000
Lance Thomas,NY,3000
Ron Baker,NY,3000
Daniel Hamilton,OKC,3000
Nick Collison,OKC,3000
Kyle Singler,OKC,3000
Terrance Ferguson,OKC,3000
Dakari Johnson,OKC,3000
Josh Huestis,OKC,3000
PJ Dozier,OKC,3000
Ryan Arcidiacono,CHI,3000
Cameron Payne,CHI,3000
David Nwaba,CHI,3000
Antonio Blakeney,CHI,3000
Fred VanVleet,TOR,3000
Alfonzo McKinnie,TOR,3000
Bruno Caboclo,TOR,3000
Pascal Siakam,TOR,3000
Malcolm Miller,TOR,3000
OG Anunoby,TOR,3000
K.J. McDaniels,TOR,3000
Lorenzo Brown,TOR,3000
