Player,Team,Salary
Le'Veon Bell,PIT,9100
Antonio Brown,PIT,9000
Julio Jones,ATL,8500
DeAndre Hopkins,HOU,8500
Alvin Kamara,NO,8400
Keenan Allen,LAC,8300
Todd Gurley II,LAR,8100
Melvin Gordon,LAC,7800
Brandin Cooks,NE,7800
Mark Ingram,NO,7700
Tom Brady,NE,7500
Travis Kelce,KC,7400
A.J. Green,CIN,7300
Rob Gronkowski,NE,7300
LeSean McCoy,BUF,7200
Adam Thielen,MIN,7200
Michael Thomas,NO,7100
Tyreek Hill,KC,7100
Carson Wentz,PHI,7100
Leonard Fournette,JAX,7000
Mike Evans,TB,6900
Marvin Jones Jr.,DET,6800
Philip Rivers,LAC,6800
Zach Ertz,PHI,6800
Ezekiel Elliott,DAL,6800
Drew Brees,NO,6700
Christian McCaffrey,CAR,6700
Michael Crabtree,OAK,6700
Davante Adams,GB,6600
Jared Goff,LAR,6600
Alex Smith,KC,6500
Kareem Hunt,KC,6500
Larry Fitzgerald,ARI,6500
Robby Anderson,NYJ,6500
Matt Ryan,ATL,6400
Derek Carr,OAK,6400
Golden Tate,DET,6400
Matthew Stafford,DET,6300
David Johnson,ARI,6300
Alshon Jeffery,PHI,6300
Ben Roethlisberger,PIT,6300
Cam Newton,CAR,6200
Russell Wilson,SEA,6200
Cooper Kupp,LAR,6200
Case Keenum,MIN,6100
Devin Funchess,CAR,6100
Aaron Rodgers,GB,6000
Carlos Hyde,SF,6000
Josh McCown,NYJ,6000
Robert Woods,LAR,6000
Evan Engram,NYG,6000
JuJu Smith-Schuster,PIT,6000
Jarvis Landry,MIA,6000
Jamaal Williams,GB,5900
Jameis Winston,TB,5900
Kirk Cousins,WAS,5900
Jamison Crowder,WAS,5900
Dez Bryant,DAL,5900
Rex Burkhead,NE,5900
Devonta Freeman,ATL,5800
Stefon Diggs,MIN,5800
Lamar Miller,HOU,5800
Amari Cooper,OAK,5800
Marcus Mariota,TEN,5800
Dion Lewis,NE,5800
Mohamed Sanu,ATL,5700
T.Y. Hilton,IND,5700
Brett Hundley,GB,5700
Marshawn Lynch,OAK,5700
Delanie Walker,TEN,5700
Samaje Perine,WAS,5600
Sammy Watkins,LAR,5600
Dak Prescott,DAL,5600
Josh Gordon,CLE,5500
Jimmy Garoppolo,SF,5500
Marqise Lee,JAX,5500
Alfred Morris,DAL,5500
Chris Hogan,NE,5500
Ted Ginn Jr.,NO,5400
Andy Dalton,CIN,5400
Jordan Howard,CHI,5400
Doug Baldwin,SEA,5400
Kenyan Drake,MIA,5400
Jacoby Brissett,IND,5300
Jerick McKinnon,MIN,5300
Sterling Shepard,NYG,5300
Derek Anderson,CAR,5200
Joe Mixon,CIN,5200
Nelson Agholor,PHI,5200
Tyrod Taylor,BUF,5100
Marquise Goodwin,SF,5100
Tevin Coleman,ATL,5000
Latavius Murray,MIN,5000
Teddy Bridgewater,MIN,5000
Jimmy Graham,SEA,5000
Blake Bortles,JAX,5000
Ryan Fitzpatrick,TB,5000
Demaryius Thomas,DEN,5000
Danny Amendola,NE,5000
Jack Doyle,IND,4900
DeShone Kizer,CLE,4900
Adrian Peterson,ARI,4900
Rishard Matthews,TEN,4900
Derrick Henry,TEN,4900
Jordan Reed,WAS,4900
Kenny Stills,MIA,4900
Brian Hoyer,NE,4900
Kyle Rudolph,MIN,4800
Tom Savage,HOU,4800
C.J. Beathard,SF,4800
DeMarco Murray,TEN,4800
Blaine Gabbert,ARI,4800
Jermaine Kearse,NYJ,4800
Eli Manning,NYG,4800
Alex Collins,BAL,4800
Jay Cutler,MIA,4800
AJ McCarron,CIN,4700
Aaron Jones,GB,4700
EJ Manuel,OAK,4700
Patrick Mahomes II,KC,4700
Emmanuel Sanders,DEN,4700
Trevor Siemian,DEN,4700
Kellen Clemens,LAC,4700
Colt McCoy,WAS,4700
Jason Witten,DAL,4700
Joe Flacco,BAL,4700
Chase Daniel,NO,4600
Kelvin Benjamin,BUF,4600
Duke Johnson Jr.,CLE,4600
Austin Davis,SEA,4600
Hunter Henry,LAC,4600
Geno Smith,NYG,4600
Matt Moore,MIA,4600
Scott Tolzien,IND,4500
Jordy Nelson,GB,4500
Theo Riddick,DET,4500
Jake Rudock,DET,4500
Peyton Barber,TB,4500
Matt Cassel,TEN,4500
Carson Palmer,ARI,4500
Drew Stanton,ARI,4500
Brock Osweiler,DEN,4500
Cardale Jones,LAC,4500
Sean Mannion,LAR,4500
Jay Ajayi,PHI,4500
Cooper Rush,DAL,4500
Landry Jones,PIT,4500
James Conner,PIT,4500
Martavis Bryant,PIT,4500
Ryan Mallett,BAL,4500
Joe Webb,BUF,4400
Nathan Peterman,BUF,4400
Mitchell Trubisky,CHI,4400
Joe Callahan,GB,4400
Charcandrick West,KC,4400
DeSean Jackson,TB,4400
Paxton Lynch,DEN,4400
Nick Foles,PHI,4400
Davis Webb,NYG,4400
Danny Woodhead,BAL,4400
Mike Wallace,BAL,4400
Matt Schaub,ATL,4300
Greg Olsen,CAR,4300
Mike Glennon,CHI,4300
Cody Kessler,CLE,4300
Kevin Hogan,CLE,4300
T.J. Yates,HOU,4300
Will Fuller V,HOU,4300
Chad Henne,JAX,4300
Chris Ivory,JAX,4300
Matt Forte,NYJ,4300
Matt Breida,SF,4200
Dede Westbrook,JAX,4200
Corey Davis,TEN,4200
Josh Doctson,WAS,4200
Orleans Darkwa,NYG,4200
DeVante Parker,MIA,4200
Zay Jones,BUF,4100
Corey Coleman,CLE,4100
T.J. Yeldon,JAX,4100
Cameron Brate,TB,4100
Jeremy Maclin,BAL,4100
Taysom Hill,NO,4000
Garrett Gilbert,CAR,4000
Kyle Sloter,MIN,4000
Mark Sanchez,CHI,4000
Dontrelle Inman,CHI,4000
Jeff Driskel,CIN,4000
Randall Cobb,GB,4000
Isaiah Crowell,CLE,4000
Allen Hurns,JAX,4000
Chris Carson,SEA,4000
Jared Cook,OAK,4000
Tyler Bray,KC,4000
Connor Cook,OAK,4000
Seth Roberts,OAK,4000
Doug Martin,TB,4000
Ryan Griffin,TB,4000
Brandon Weeden,TEN,4000
Matt Barkley,ARI,4000
Bilal Powell,NYJ,4000
Bryce Petty,NYJ,4000
Chad Kelly,DEN,4000
Christian Hackenberg,NYJ,4000
Austin Ekeler,LAC,4000
Brandon Allen,LAR,4000
Nate Sudfeld,PHI,4000
Joshua Dobbs,PIT,4000
David Fales,MIA,4000
Frank Gore,IND,3900
Mike Tolbert,BUF,3900
Paul Richardson,SEA,3900
Kenny Golladay,DET,3900
Kerwynn Williams,ARI,3900
C.J. Anderson,DEN,3900
Ryan Grant,WAS,3900
LeGarrette Blount,PHI,3900
Malcolm Brown,LAR,3900
Rod Smith,DAL,3900
Damien Williams,MIA,3900
Marlon Mack,IND,3800
Bruce Ellington,HOU,3800
J.D. McKissic,SEA,3800
DeAndre Washington,OAK,3800
Cordarrelle Patterson,OAK,3800
Ameer Abdullah,DET,3800
Vernon Davis,WAS,3800
Travis Benjamin,LAC,3800
Javorius Allen,BAL,3800
Tarik Cohen,CHI,3700
Packers ,GB,3700
Mike Davis,SEA,3700
Jalen Richard,OAK,3700
Jacquizz Rodgers,TB,3700
Tyrell Williams,LAC,3700
Terrance Williams,DAL,3700
Devante Mays,GB,3600
Aldrick Robinson,SF,3600
Andre Ellington,HOU,3600
Tion Green,DET,3600
Austin Seferian-Jenkins,NYJ,3600
Devontae Booker,DEN,3600
Chargers ,LAC,3600
Corey Clement,PHI,3600
James White,NE,3600
Malcolm Mitchell,NE,3600
Terron Ward,ATL,3500
Colts ,IND,3500
Jonathan Stewart,CAR,3500
Brandon LaFell,CIN,3500
Alfred Blue,HOU,3500
Jaguars ,JAX,3500
Eddie Lacy,SEA,3500
Keelan Cole,JAX,3500
Johnny Holton,OAK,3500
Charles Sims,TB,3500
Jamaal Charles,DEN,3500
Elijah McGuire,NYJ,3500
Branden Oliver,LAC,3500
Wayne Gallman,NYG,3500
Julius Thomas,MIA,3500
Austin Hooper,ATL,3400
Tyler Lockett,SEA,3400
Thomas Rawls,SEA,3400
Albert Wilson,KC,3400
Eric Decker,TEN,3400
Jaron Brown,ARI,3400
John Brown,ARI,3400
Ricky Seals-Jones,ARI,3400
Broncos ,DEN,3400
Jeremy Kerley,NYJ,3400
Byron Marshall,WAS,3400
Josh Reynolds,LAR,3400
Cole Beasley,DAL,3400
Senorise Perry,MIA,3400
Mike Gillislee,NE,3400
Phillip Dorsett,NE,3400
Bengals ,CIN,3300
Tyler Kroft,CIN,3300
Trent Taylor,SF,3300
Zach Zenner,DET,3300
Dwayne Washington,DET,3300
Jets ,NYJ,3300
Bennie Fowler,DEN,3300
De'Angelo Henderson,DEN,3300
Patriots ,NE,3300
Taylor Gabriel,ATL,3200
Jordan Matthews,BUF,3200
Texans ,HOU,3200
Stephen Anderson,HOU,3200
C.J. Prosise,SEA,3200
Titans ,TEN,3200
J.J. Nelson,ARI,3200
D.J. Foster,ARI,3200
Torrey Smith,PHI,3200
Wendell Smallwood,PHI,3200
Steelers ,PIT,3200
Terrance West,BAL,3200
Benjamin Watson,BAL,3200
Bills ,BUF,3100
Deonte Thompson,BUF,3100
Charles Clay,BUF,3100
Russell Shepard,CAR,3100
Giovani Bernard,CIN,3100
Braxton Miller,HOU,3100
Seahawks ,SEA,3100
TJ Jones,DET,3100
Adam Humphries,TB,3100
Tavarres King,NYG,3100
Andre Roberts,ATL,3000
Zach Line,NO,3000
Derrick Coleman,ATL,3000
Nick Williams,ATL,3000
Brandon Coleman,NO,3000
Justin Hardy,ATL,3000
Terrence Magee,ATL,3000
Willie Snead,NO,3000
Marvin Hall,ATL,3000
Tommylee Lewis,NO,3000
Trey Edmunds,NO,3000
Austin Carr,NO,3000
Jonathan Williams,NO,3000
Brandon Tate,BUF,3000
Kamar Aiken,IND,3000
Travaris Cadet,BUF,3000
Patrick DiMarco,BUF,3000
George Winn,IND,3000
Walter Powell,BUF,3000
Andre Holmes,BUF,3000
K.J. Brent,IND,3000
Josh Ferguson,IND,3000
Donte Moncrief,IND,3000
Chester Rogers,IND,3000
Ed Dickson,CAR,3000
Fozzy Whittaker,CAR,3000
Michael Floyd,MIN,3000
Brenton Bersin,CAR,3000
Jarius Wright,MIN,3000
Mack Brown,MIN,3000
Kaelin Clay,CAR,3000
Damiere Byrd,CAR,3000
Cameron Artis-Payne,CAR,3000
Stacy Coley,MIN,3000
Laquon Treadwell,MIN,3000
C.J. Ham,MIN,3000
Alex Armah,CAR,3000
Kendall Wright,CHI,3000
Markus Wheaton,CHI,3000
Benny Cunningham,CHI,3000
Josh Bellamy,CHI,3000
Michael Burton,CHI,3000
Tra Carson,CIN,3000
Alex Erickson,CIN,3000
Cody Core,CIN,3000
Tyler Boyd,CIN,3000
Taquan Mizzell,CHI,3000
John Ross,CIN,3000
Josh Malone,CIN,3000
Brian Hill,CIN,3000
Kenny Britt,CLE,3000
James Wright,CLE,3000
Sammie Coates,CLE,3000
Aaron Ripkowski,GB,3000
Joe Kerridge,GB,3000
Trevor Davis,GB,3000
Bryce Treggs,CLE,3000
Danny Vitale,CLE,3000
Ricardo Louis,CLE,3000
Rashard Higgins,CLE,3000
Matthew Dayes,CLE,3000
Jeff Janis,GB,3000
Geronimo Allison,GB,3000
David Njoku,CLE,3000
Michael Clark,GB,3000
49ers ,SF,3000
Louis Murphy,SF,3000
Jordan Todman,HOU,3000
Kyle Juszczyk,SF,3000
Cobi Hamilton,HOU,3000
Jay Prosch,HOU,3000
Chris Thompson,HOU,3000
Victor Bolden Jr.,SF,3000
Kendrick Bourne,SF,3000
Jeremy McNichols,SF,3000
Tommy Bohanon,JAX,3000
Larry Pinkard,JAX,3000
Corey Grant,JAX,3000
Tanner McEvoy,SEA,3000
Jaydon Mickens,JAX,3000
Amara Darboh,SEA,3000
David Moore,SEA,3000
Anthony Sherman,KC,3000
Jamize Olawale,OAK,3000
Akeem Hunt,KC,3000
De'Anthony Thomas,KC,3000
Jehu Chesson,KC,3000
Demarcus Robinson,KC,3000
Isaac Whitney,OAK,3000
Freddie Martino,TB,3000
Bradley Marquez,DET,3000
Eric Ebron,DET,3000
Bobo Wilson,TB,3000
Chris Godwin,TB,3000
Harry Douglas,TEN,3000
Eric Weems,TEN,3000
Jalston Fowler,TEN,3000
David Fluellen,TEN,3000
Bronson Hill,ARI,3000
Elijhaa Penny,ARI,3000
Brittan Golden,ARI,3000
Carlton Agudosi,ARI,3000
T.J. Logan,ARI,3000
Taywan Taylor,TEN,3000
Chad Williams,ARI,3000
Jordan Taylor,DEN,3000
Lawrence Thomas,NYJ,3000
Cody Latimer,DEN,3000
Andy Janovich,DEN,3000
JoJo Natson Jr.,NYJ,3000
Jalin Marshall,NYJ,3000
Lucky Whitehead,NYJ,3000
ArDarius Stewart,NYJ,3000
Chad Hansen,NYJ,3000
Isaiah McKenzie,DEN,3000
Brian Quick,WAS,3000
Andre Williams,LAC,3000
Geremy Davis,LAC,3000
Derek Watt,LAC,3000
Maurice Harris,WAS,3000
Mike Williams,LAC,3000
LeShun Daniels Jr.,WAS,3000
Kenjon Barner,PHI,3000
Lance Dunbar,LAR,3000
Tavon Austin,LAR,3000
Marcus Johnson,PHI,3000
Mack Hollins,PHI,3000
Justin Davis,LAR,3000
Shelton Gibson,PHI,3000
Pharoh Cooper,LAR,3000
Michael Thomas,LAR,3000
Shane Vereen,NYG,3000
Brice Butler,DAL,3000
Keith Smith,DAL,3000
Trey Williams,DAL,3000
Paul Perkins,NYG,3000
Kalif Raymond,NYG,3000
Shane Smith,NYG,3000
Ryan Switzer,DAL,3000
Roger Lewis,NYG,3000
Travis Rudolph,NYG,3000
Noah Brown,DAL,3000
Roosevelt Nix,PIT,3000
Fitzgerald Toussaint,PIT,3000
Eli Rogers,PIT,3000
Justin Hunter,PIT,3000
Darrius Heyward-Bey,PIT,3000
Chris Moore,BAL,3000
Breshad Perriman,BAL,3000
Michael Campanaro,BAL,3000
De'Veon Smith,MIA,3000
Isaiah Ford,MIA,3000
Rashawn Scott,MIA,3000
Leonte Carroo,MIA,3000
Jakeem Grant,MIA,3000
Brandon Bolden,NE,3000
James Develin,NE,3000
Matthew Slater,NE,3000
Bernard Reedy,NE,3000
Jonnu Smith,TEN,2900
Trey Burton,PHI,2900
Cowboys ,DAL,2900
Giants ,NYG,2900
Jesse James,PIT,2900
Buccaneers ,TB,2800
Cardinals ,ARI,2800
Antonio Gates,LAC,2800
Vikings ,MIN,2700
Panthers ,CAR,2700
George Kittle,SF,2700
Marcedes Lewis,JAX,2700
Lions ,DET,2700
Ravens ,BAL,2700
Dwayne Allen,NE,2700
Coby Fleener,NO,2600
Browns ,CLE,2600
Garrett Celek,SF,2600
C.J. Fiedorowicz,HOU,2600
O.J. Howard,TB,2600
Eagles ,PHI,2600
Michael Hoomanawanui,NO,2500
Garrett Griffin,NO,2500
Josh Hill,NO,2500
Levine Toilolo,ATL,2500
Eric Saubert,ATL,2500
Logan Thomas,BUF,2500
Brandon Williams,IND,2500
Erik Swoope,IND,2500
Ross Travis,IND,2500
Nick O'Leary,BUF,2500
Darrell Daniels,IND,2500
Jason Vander Laan,IND,2500
Khari Lee,BUF,2500
Kevin McDermott,MIN,2500
Blake Bell,MIN,2500
Chris Manhertz,CAR,2500
David Morgan,MIN,2500
Bears ,CHI,2500
Clark Harris,CIN,2500
Andrew DePaola,CHI,2500
Ryan Hewitt,CIN,2500
Dion Sims,CHI,2500
Daniel Brown,CHI,2500
C.J. Uzomah,CIN,2500
Ben Braunecker,CHI,2500
Cethan Carter,CIN,2500
Adam Shaheen,CHI,2500
Lance Kendricks,GB,2500
Matt Lengel,CLE,2500
Randall Telfer,CLE,2500
Richard Rodgers,GB,2500
Seth DeValve,CLE,2500
Logan Paulsen,SF,2500
Kyle Nelson,SF,2500
Luke Willson,SEA,2500
James O'Shaughnessy,JAX,2500
Tyler Ott,SEA,2500
Nick Vannett,SEA,2500
Ben Koyack,JAX,2500
Lee Smith,OAK,2500
James Winchester,KC,2500
Orson Charles,KC,2500
Clive Walford,OAK,2500
Demetrius Harris,KC,2500
Darren Fells,DET,2500
Alan Cross,TB,2500
Michael Roberts,DET,2500
Antony Auclair,TB,2500
Jermaine Gresham,ARI,2500
Beau Brinkley,TEN,2500
Luke Stocker,TEN,2500
Troy Niklas,ARI,2500
Phillip Supernaw,TEN,2500
Virgil Green,DEN,2500
Eric Tomlinson,NYJ,2500
Neal Sterling,NYJ,2500
Jeff Heuerman,DEN,2500
Austin Traylor,DEN,2500
Jake Butt,DEN,2500
Jeff Cumberland,LAC,2500
Sean McGrath,LAC,2500
Niles Paul,WAS,2500
Sean Culkin,LAC,2500
Jeremy Sprinkle,WAS,2500
Rams ,LAR,2500
Brent Celek,PHI,2500
Tyler Higbee,LAR,2500
Derek Carrier,LAR,2500
Gerald Everett,LAR,2500
Rhett Ellison,NYG,2500
James Hanna,DAL,2500
Jerell Adams,NYG,2500
Rico Gathers,DAL,2500
Blake Jarwin,DAL,2500
Geoff Swaim,DAL,2500
Vance McDonald,PIT,2500
Xavier Grimble,PIT,2500
Nick Boyle,BAL,2500
Maxx Williams,BAL,2500
Vince Mayle,BAL,2500
MarQueis Gray,MIA,2500
Anthony Fasano,MIA,2500
A.J. Derby,MIA,2500
Jacob Hollister,NE,2500
Saints ,NO,2400
Chiefs ,KC,2400
Redskins ,WAS,2300
Falcons ,ATL,2200
Raiders ,OAK,2200
Dolphins ,MIA,2000
