Player,Team,Salary
Andrei Vasilevskiy,TB,8200
Thomas Greiss,NYI,8100
Jaroslav Halak,NYI,8100
Connor McDavid,EDM,8100
Devan Dubnyk,MIN,8100
Brian Elliott,PHI,8000
Michal Neuvirth,PHI,8000
Alex Stalock,MIN,8000
Tyler Seguin,DAL,8000
Ben Bishop,DAL,8000
Sidney Crosby,PIT,7900
Peter Budaj,TB,7900
Corey Crawford,CHI,7900
Matt Murray,PIT,7800
Nikita Kucherov,TB,7800
Pekka Rinne,NSH,7800
Kari Lehtonen,DAL,7800
Anton Forsberg,CHI,7800
Jonathan Quick,LA,7700
Jimmy Howard,DET,7600
Petr Mrazek,DET,7600
Steven Stamkos,TB,7600
Juuse Saros,NSH,7600
John Gibson,ANH,7500
Antti Niemi,PIT,7400
Tristan Jarry,PIT,7400
Casey DeSmith,PIT,7400
Darcy Kuemper,LA,7400
Patrick Kane,CHI,7400
Robin Lehner,BUF,7300
Reto Berra,ANH,7300
Ryan Miller,ANH,7300
Erik Karlsson,OTT,7300
Mike Smith,CGY,7300
James Reimer,FLA,7200
Roberto Luongo,FLA,7200
Carey Price,MON,7200
Craig Anderson,OTT,7200
Eddie Lack,CGY,7200
Jamie Benn,DAL,7200
Marc-Andre Fleury,VGK,7200
Chad Johnson,BUF,7100
Leon Draisaitl,EDM,7100
Cam Talbot,EDM,7100
Scott Darling,CAR,7100
Cam Ward,CAR,7100
Mike Condon,OTT,7100
Filip Forsberg,NSH,7100
Malcolm Subban,VGK,7100
Jack Eichel,BUF,7000
Evander Kane,BUF,7000
Ryan Getzlaf,ANH,7000
Harri Sateri,FLA,7000
Al Montoya,MON,7000
Evgeni Malkin,PIT,6900
Laurent Brossoit,EDM,6900
Johnny Gaudreau,CGY,6900
Jacob Markstrom,VAN,6900
Semyon Varlamov,COL,6900
Antti Raanta,ARI,6800
Louis Domingue,ARI,6800
John Tavares,NYI,6800
Anze Kopitar,LA,6800
Steve Michalek,MIN,6800
Anders Nilsson,VAN,6800
Jonathan Bernier,COL,6800
Oscar Dansk,VGK,6800
Linus Ullmark,BUF,6700
Adin Hill,ARI,6700
Wayne Simmonds,PHI,6700
Michael Leighton,TB,6700
Andrew Hammond,OTT,6700
Chris Driedger,OTT,6700
Jeff Zatkoff,LA,6700
Jonathan Toews,CHI,6700
Maxime Lagace,VGK,6700
Jean-Francois Berube,CHI,6700
Jared Coreau,DET,6600
Kristers Gudlevskis,NYI,6600
Rickard Rakell,ANH,6600
Anthony Stolarz,PHI,6600
Jeremy Smith,CAR,6600
Samuel Montembeault,FLA,6600
Sean Monahan,CGY,6600
Niklas Svedberg,MIN,6600
Richard Bachman,VAN,6600
Spencer Martin,COL,6600
Marek Langhamer,ARI,6500
Christopher Gibson,NYI,6500
Kevin Boyle,ANH,6500
Alex Lyon,PHI,6500
Nick Ellis,EDM,6500
