Name,Team,Salary
Clayton  Kershaw,LAD,12000
 Felix  Hernandez,SEA,12200
 Madison Bumgarner,SF,10400
 Alex  Wood,ATL,8400
 Jordan Zimmermann,WAS,8800
 Carlos Martinez,STL,7600
 Jake Odorizzi,TB,7100
 Tyson Ross,SD,9100
 Dallas Keuchel,HOU,8000
 Phil Hughes,MIN,8100
 Matt Shoemaker,LAA,7300
 R.A. Dickey,TOR,7000
 Jesse Hahn,OAK,6000
 David Phelps,MIA,4900
 Kyle Lohse,MIL,6900
 Aaron Harang,PHI,6700
 Josh Collmenter,ARI,5600
 Clay Buchholz,BOS,6800
 Travis Wood,CHC,7200
 Tyler Matzek,COL,5300
 Paul Goldschmidt,ARI,5700
 Mike Trout,LAA,5300
 Corey Dickerson,COL,5000
 Carlos Gomez,MIL,4400
 Troy Tulowitzki,COL,5600
 Giancarlo Stanton,MIA,4900
 Dee Gordon,MIA,4500
 Jose Altuve,HOU,5400
 Scott Van Slyke,LAD,4300
 Hanley  Ramirez,BOS,5200
 Jose Bautista,TOR,5500
 Jacoby Ellsbury,NYY,5000
 Charlie Blackmon,COL,4600
 George Springer,HOU,5200
 A.J. Pollock,ARI,4400
 Kole Calhoun,LAA,4000
 Edwin Encarnacion,TOR,5100
 Mookie Betts,BOS,4400
 Adrian Gonzalez,LAD,4200
 Devon Travis,TOR,4000
 Carlos Gonzalez,COL,4400
 Josh Donaldson,TOR,5100
 Matt Kemp,SD,3900
 Brett Gardner,NYY,4600
 Anthony Rizzo,CHC,4800
 Nolan Arenado,COL,4800
 Bryce Harper,WAS,4700
 Justin Upton,SD,3800
 Joc Pederson,LAD,4300
 Ender Inciarte,ARI,3900
 Steven Souza,TB,4100
 Ryan Braun,MIL,4200
 Leonys Martin,TEX,3900
 Freddie Freeman,ATL,4200
 David Ortiz,BOS,4600
 Luis Valbuena,HOU,3600
 Mark Trumbo,ARI,4800
 Yasmany Tomas,ARI,4700
 Josh Reddick,OAK,4700
 Matt Holliday,STL,4400
 Ian Desmond,WAS,4200
 Wil Myers,SD,3600
 Jayson Werth,WAS,4300
 Mark Teixeira,NYY,4300
 Brian Dozier,MIN,4600
 Dexter Fowler,CHC,4200
 Marcus Semien,OAK,3900
 Alex Rodriguez,NYY,3800
 Marcell Ozuna,MIA,4100
 Evan Longoria,TB,4400
 Jorge Soler,CHC,3800
 Adrian Beltre,TEX,4600
 Jason Heyward,STL,4400
 Albert Pujols,LAA,3800
 Buster Posey,SF,4100
 Kris Bryant,CHC,4200
 Derek Norris,SD,3100
 Jake Marisnick,HOU,4400
 Prince Fielder,TEX,4400
 Dustin Pedroia,BOS,4100
 Justin Morneau,COL,4100
 Denard Span,WAS,4700
 Nelson Cruz,SEA,4400
 Ryan Zimmerman,WAS,4400
 Brandon Belt,SF,3500
 Adam Lind,MIL,3900
 Howie Kendrick,LAD,4100
 Mike Napoli,BOS,3900
 Chris Carter,HOU,4800
 Ben Revere,PHI,3500
 Robinson Cano,SEA,4100
 Russell Martin,TOR,4700
 Aramis Ramirez,MIL,3400
 Evan Gattis,HOU,4800
 Trevor Plouffe,MIN,4100
 Pablo Sandoval,BOS,4800
 Khris Davis,MIL,3400
 Norichika Aoki,SF,3700
 Andre Ethier,LAD,3300
 Jimmy Rollins,LAD,3500
 Angel Pagan,SF,3400
 Oswaldo Arcia,MIN,4300
 Brian McCann,NYY,3800
 Chase Utley,PHI,3600
 Stephen Vogt,OAK,3400
 Carlos Beltran,NYY,3900
 Chris Owings,ARI,4400
 Torii Hunter,MIN,4100
 Shin-Soo Choo,TEX,3600
 Colby Rasmus,HOU,4200
 Joe Mauer,MIN,4500
 Kennys Vargas,MIN,3700
 Seth Smith,SEA,3500
 Kevin Pillar,TOR,4200
 Chase Headley,NYY,3900
 Austin Jackson,SEA,3700
 Yasmani Grandal,LAD,3300
 A.J. Pierzynski,ATL,3100
 Martin Prado,MIA,3700
 Jonny Gomes,ATL,3400
 Kevin Kiermaier,TB,4000
 Danny Santana,MIN,3900
 Kyle Seager,SEA,3600
 Rougned Odor,TEX,3300
 Billy Burns,OAK,2600
 Michael Saunders,TOR,3900
 Wilson Ramos,WAS,3900
 Asdrubal Cabrera,TB,3800
 David DeJesus,TB,3000
 Billy Butler,OAK,3300
 Darin Ruf,PHI,3000
 Elvis Andrus,TEX,4000
 Jean Segura,MIL,3500
 Justin Maxwell,SF,2900
 Jhonny Peralta,STL,4000
 Jason Castro,HOU,3400
 Odubel Herrera,PHI,2900
 Brandon Crawford,SF,3800
 Andrelton Simmons,ATL,4000
 Miguel Montero,CHC,3200
 Yadier Molina,STL,3400
 Kolten Wong,STL,3700
 Mike Morse,MIA,3300
 David Freese,LAA,3100
 Jedd Gyorko,SD,2900
 Will Middlebrooks,SD,2500
 Brock Holt,BOS,3000
 DJ LeMahieu,COL,3600
 Cameron Maybin,ATL,2800
 Peter Bourjos,STL,3700
 Ike Davis,OAK,3500
 C.J. Cron,LAA,3100
 Starlin Castro,CHC,3800
 Nick Markakis,ATL,3300
 Mark Reynolds,STL,3000
 Joe Panik,SF,3100
 Juan Uribe,LAD,3600
 James Loney,TB,3900
 Adam Rosales,TEX,2900
 Brett Lawrie,OAK,3700
 Clint Barmes,SD,2300
 J.T. Realmuto,MIA,3200
 Xander Bogaerts,BOS,3400
 Yonder Alonso,SD,3000
 Sam Fuld,OAK,3100
 Logan Forsythe,TB,3100
 Erick Aybar,LAA,3100
 Chris Coghlan,CHC,3100
 Logan Morrison,SEA,3400
 Jace Peterson,ATL,3100
 Matt Joyce,LAA,2900
 Ezequiel Carrera,TOR,3800
 Jordan Schafer,MIN,3400
 Jake Smolinski,TEX,3000
 Addison Russell,CHC,3400
 Brad Miller,SEA,3100
 Ross Detwiler,TEX,4200
 Mike Zunino,SEA,3100
 Robinson Chirinos,TEX,3600
 Nick Hundley,COL,3400
 Danny Espinosa,WAS,3000
 Sandy Leon,BOS,2400
 Stephen Drew,NYY,3200
 Adeiny Hechavarria,MIA,3700
 Dustin Ackley,SEA,2900
 Chris Iannetta,LAA,2600
 Alberto Callaspo,ATL,2700
 Johnny Giavotella,LAA,2600
 Yunel Escobar,WAS,3500
 Casey McGehee,SF,2800
 Nick Ahmed,ARI,3000
 Marwin Gonzalez,HOU,3000
 Didi Gregorius,NYY,3500
 Kurt Suzuki,MIN,3000
 Carlos Ruiz,PHI,2900
 Eric Sogard,OAK,3000
 Jeff Francoeur,PHI,2000
 Rene Rivera,TB,3200
 Freddy Galvis,PHI,2900
 Cesar Hernandez,PHI,2600
 Tuffy Gosewisch,ARI,2700
 Justin Turner,LAD,3900
 Matt Adams,STL,4500
 Blake Swihart,BOS,3400
 Alex Guerrero,LAD,3000
 Michael Taylor,WAS,3500
 Eric Young Jr.,ATL,2900
 David Peralta,ARI,4300
 Ryan Howard,PHI,3400
 Allen Craig,BOS,2800
 Mike McKenry,COL,3400
 Kelly Johnson,ATL,3300
 Daniel Nava,BOS,2800
 Grady Sizemore,PHI,2800
 Justin Smoak,TOR,3500
 Enrique Hernandez,LAD,2800
 Pedro Ciriaco,ATL,2100
 Yangervis Solarte,SD,2800
 Andres Blanco,PHI,2000
 A.J. Ellis,LAD,3000
 Phil Gosselin,ATL,2900
 Jon Jay,STL,3600
 Brandon Guyer,TB,3700
 Carlos Corporan,TEX,2900
 Cody Asche,PHI,3100
 Garrett Jones,NYY,3200
 Jose Lobaton,WAS,3300
 Jonathan Villar,HOU,3200
 Gerardo Parra,MIL,2900
 Welington Castillo,CHC,3100
 Drew Stubbs,COL,3900
 Cameron Rupp,PHI,2100
 Christian Bethancourt,ATL,3000
 Eduardo Nunez,MIN,3700
 Gregor Blanco,SF,3000
 Chris Young,NYY,3600
 Cory Spangenberg,SD,2600
 Junior Lake,CHC,3000
 Donovan Solano,MIA,2500
 Eduardo Escobar,MIN,3000
 Dan Uggla,WAS,3500
 Cliff Pennington,ARI,3200
 Ichiro Suzuki,MIA,2900
 Hank Conger,HOU,3100
 Danny Valencia,TOR,3300
 David Ross,CHC,3100
 Craig Gentry,OAK,3100
 Clint Robinson,WAS,3100
 Jeff Baker,MIA,3000
 Daniel Descalso,COL,3000
 Elian Herrera,MIL,2000
 Alexi Amarista,SD,2600
 Robbie Grossman,HOU,2800
 Jose Pirela,NYY,3000
 Martin Maldonado,MIL,2300
 Gregorio Petit,NYY,2300
 Rickie Weeks,SEA,2900
 Aaron Hill,ARI,4200
 Tony Cruz,STL,2600
 Hector Sanchez,SF,2500
 Matt Duffy,SF,2600
 Tim Beckham,TB,2900
 Andrew Susac,SF,3100
 Justin Ruggiano,SEA,2900
 Mark Canha,OAK,3300
 Carlos Peguero,TEX,2500
 Joaquin Arias,SF,2600
 Collin Cowgill,LAA,2400
 Jonathan Herrera,CHC,2500
 Chris Denorfia,CHC,3300
 Will Venable,SD,3200
 Hector Gomez,MIL,2300
 Jason Rogers,MIL,2900
 Logan Schafer,MIL,2200
 John Ryan Murphy,NYY,2800
 Josh Phegley,OAK,2800
 Tyler Moore,WAS,3000
 Shane Robinson,MIN,2500
 Juan Centeno,MIL,2000
 Justin Bour,MIA,2700
 Rafael Ynoa,COL,2700
 Chris Herrmann,MIN,2500
 Wil Nieves,SD,2000
 Jordan Pacheco,ARI,2900
 Reid Brignac,MIA,2600
 Bobby Wilson,TB,2000
 Ryan Goins,TOR,2300
 Drew Butera,LAA,2000
 Jhonatan Solano,MIA,2200
 Danny Dorn,ARI,2000
 Josh Thole,TOR,2500
 Taylor Featherston,LAA,2600
 Willie Bloomquist,SEA,2300
 Pete Kozma,STL,2300
 Jesus Sucre,SEA,2000
 Delino DeShields Jr.,TEX,3300
 Christian Yelich,MIA,3900
 Scooter Gennett,MIL,3100
 Mitch Moreland,TEX,3100
 Jurickson Profar,TEX,2000
 Joey Terdoslavich,ATL,2000
 Nate Freiman,OAK,2900
 Matt Carpenter,STL,4500
 Anthony Rendon,WAS,4800
 Jonathan Lucroy,MIL,3400
 Desmond Jennings,TB,3800
 Nick Franklin,TB,4000
 Randal Grichuk,STL,3300
 Melvin Upton Jr.,SD,3100
 Jose Reyes,TOR,4500
 Jeff Mathis,MIA,2200
 Coco Crisp,OAK,4200
 Carl Crawford,LAD,4000
 Reed Johnson,WAS,2800
 Josh Hamilton,TEX,3800
 Nate McLouth,WAS,3400
 Maicer Izturis,TOR,3300
 Don Kelly,MIA,2500
 Shane Victorino,BOS,3400
 Travis Ishikawa,SF,2400
 Dioner Navarro,TOR,3900
 Hunter Pence,SF,4100
 Jed Lowrie,HOU,3800
 Brendan Ryan,NYY,2400
 Chris Johnson,ATL,3900
 Ben Zobrist,OAK,4000
 John Jaso,TB,4100
 Ryan Hanigan,BOS,2900
 Chase Whitley,NYY,4000
 Tommy La Stella,CHC,3700
 Christian Vazquez,BOS,3200
 Yasiel Puig,LAD,4300
 Jake Lamb,ARI,4600
