Player	team	Salary
Clayton Kershaw	LAD	14000
Chris Sale	BOS	13000
Jacob deGrom	NYM	12600
Rich Hill	LAD	11900
Noah Syndergaard	NYM	11900
Alex Wood	LAD	11800
Zack Greinke	ARI	11700
Yu Darvish	TEX	11300
Robbie Ray	ARI	11200
Carlos Martinez	STL	10800
Chase Anderson	MIL	9700
Jimmy Nelson	MIL	9700
David Price	BOS	9600
Michael Wacha	STL	9500
Michael Fulmer	DET	9400
Adam Wainwright	STL	9100
Cole Hamels	TEX	9000
Marcus Stroman	TOR	8900
Gerrit Cole	PIT	8900
Jason Vargas	KC	8800
Zack Godley	ARI	8700
Ian Kennedy	KC	8400
Jameson Taillon	PIT	8300
Julio Urias	LAD	8200
Eduardo Rodriguez	BOS	8200
Justin Verlander	DET	7900
Steven Matz	NYM	7900
Danny Duffy	KC	7800
Kenta Maeda	LAD	7800
J.A. Happ	TOR	7800
Ivan Nova	PIT	7600
Cody Reed	CIN	7500
Lucas Giolito	CWS	7400
Hyun-Jin Ryu	LAD	7400
Rick Porcello	BOS	7400
Anthony DeSclafani	CIN	7300
Steven Wright	BOS	7200
Drew Pomeranz	BOS	7200
Daniel Norris	DET	7000
Carlos Rodon	CWS	7000
Matt Garza	MIL	7000
Archie Bradley	ARI	7000
Brandon McCarthy	LAD	6900
Marco Estrada	TOR	6900
Zach Davies	MIL	6900
Robert Stephenson	CIN	6900
Zack Wheeler	NYM	6900
Aaron Sanchez	TOR	6800
Anibal Sanchez	DET	6700
A.J. Griffin	TEX	6700
Francisco Liriano	TOR	6700
Raisel Iglesias	CIN	6700
Marcos Molina	NYM	6700
Scott Kazmir	LAD	6600
Scott Feldman	CIN	6600
Patrick Corbin	ARI	6600
Mike Leake	STL	6600
Josh Hader	MIL	6500
Taijuan Walker	ARI	6500
Lance Lynn	STL	6500
Jason Hammel	KC	6400
Kyle Zimmer	KC	6400
Tyson Ross	TEX	6400
Luis Castillo	CIN	6400
Dylan Bundy	BAL	6300
Anthony Banda	ARI	6300
Nate Karns	KC	6200
Brent Suter	MIL	6200
Trevor Williams	PIT	6200
James Shields	CWS	6100
Reynaldo Lopez	CWS	6100
Andrew Cashner	TEX	6100
Kevin Gausman	BAL	6100
Jorge Lopez	MIL	6000
Shelby Miller	ARI	6000
Matt Harvey	NYM	6000
Rafael Montero	NYM	6000
Seth Lugo	NYM	6000
Luke Weaver	STL	6000
Homer Bailey	CIN	5900
Buck Farmer	DET	5800
