Name,Team,Salary
"Clayton  	Kershaw",LAD ,11300
"Felix  	Hernandez",SEA ,11000
"Madison  	Bumgarner",SF ,9800
"Jordan  	Zimmermann",WAS ,8900
"Alex  	Wood",ATL ,7700
"Carlos  	Martinez",STL ,8400
"Jake  	Odorizzi",TB ,8200
"Tyson  	Ross",SD ,8300
"Matt  	Shoemaker",LAA ,7800
"R.A.  	Dickey",TOR ,7400
"Dallas  	Keuchel",HOU ,8500
"Phil  	Hughes",MIN ,7400
"David  	Phelps",MIA ,6400
"Aaron  	Harang",PHI ,7500
"Kyle  	Lohse",MIL ,6300
"Jesse  	Hahn",OAK ,7200
"Clay  	Buchholz",BOS ,7900
"Travis  	Wood",CHC ,7600
"Josh  	Collmenter",ARI ,7100
"Tyler  	Matzek",COL ,5300
"Ross  	Detwiler",TEX ,5600
"Paul  	Goldschmidt",ARI ,6100
"Mike  	Trout",LAA ,5600
"Corey  	Dickerson",COL ,4800
"Troy  	Tulowitzki",COL ,5100
"Giancarlo  	Stanton",MIA ,4900
"Carlos  	Gomez",MIL ,4100
"Jose  	Bautista",TOR ,5100
"Scott  	Van Slyke",LAD ,2500
"Hanley  	Ramirez",BOS ,4100
"George  	Springer",HOU ,3900
"Dee  	Gordon",MIA ,3800
"Edwin  	Encarnacion",TOR ,4000
"Josh  	Donaldson",TOR ,4000
"Adrian  	Gonzalez",LAD ,4300
"Devon  	Travis",TOR ,3500
"Jose  	Altuve",HOU ,4900
"Carlos  	Gonzalez",COL ,3600
"Mookie  	Betts",BOS ,3000
"Kole  	Calhoun",LAA ,3500
"Jacoby  	Ellsbury",NYY ,4200
"Bryce  	Harper",WAS ,4300
"Brian  	Dozier",MIN ,3100
"Charlie  	Blackmon",COL ,4300
"Matt  	Kemp",SD ,3600
"Anthony  	Rizzo",CHC ,4200
"Brett  	Gardner",NYY ,3400
"Justin  	Upton",SD ,4000
"Nolan  	Arenado",COL ,4300
"Mark  	Trumbo",ARI ,4100
"Joc  	Pederson",LAD ,3900
"David  	Ortiz",BOS ,3200
"A.J.  	Pollock",ARI ,3700
"Steven  	Souza",TB ,3100
"Freddie  	Freeman",ATL ,3400
"Ryan  	Braun",MIL ,3700
"Luis  	Valbuena",HOU ,3000
"Matt  	Holliday",STL ,3500
"Yasmany  	Tomas",ARI ,3000
"Ender  	Inciarte",ARI ,3500
"Josh  	Reddick",OAK ,3900
"Jayson  	Werth",WAS ,3000
"Alex  	Rodriguez",NYY ,3400
"Wil  	Myers",SD ,3600
"Evan  	Longoria",TB ,3100
"Marcell  	Ozuna",MIA ,3100
"Dexter  	Fowler",CHC ,3300
"Prince  	Fielder",TEX ,3400
"Marcus  	Semien",OAK ,3000
"Mike  	Napoli",BOS ,2400
"Kris  	Bryant",CHC ,3500
"Buster  	Posey",SF ,3500
"Kevin  	Kiermaier",TB ,2300
"Derek  	Norris",SD ,3000
"Shin-Soo  	Choo",TEX ,2800
"Albert  	Pujols",LAA ,3100
"Ryan  	Zimmerman",WAS ,2800
"Chris  	Carter",HOU ,2400
"Brandon  	Belt",SF ,2900
"Dustin  	Pedroia",BOS ,3000
"Adrian  	Beltre",TEX ,2900
"Nelson  	Cruz",SEA ,5400
"Jake  	Marisnick",HOU ,3400
"Justin  	Morneau",COL ,4000
"Robinson  	Cano",SEA ,3600
"Trevor  	Plouffe",MIN ,2600
"Howie  	Kendrick",LAD ,3100
"Ian  	Desmond",WAS ,2800
"Denard  	Span",WAS ,3400
"Jason  	Heyward",STL ,2900
"Andre  	Ethier",LAD ,2800
"Kevin  	Pillar",TOR ,2700
"Leonys  	Martin",TEX ,3200
"Khris  	Davis",MIL ,2500
"Chase  	Headley",NYY ,2700
"Jimmy  	Rollins",LAD ,2700
"Joe  	Mauer",MIN ,3200
"Yasmani  	Grandal",LAD ,2400
"Stephen  	Vogt",OAK ,3000
"Evan  	Gattis",HOU ,3400
"Carlos  	Beltran",NYY ,2300
"Pablo  	Sandoval",BOS ,3200
"Aramis  	Ramirez",MIL ,2600
"Seth  	Smith",SEA ,2200
"Angel  	Pagan",SF ,3000
"Aaron  	Hill",ARI ,2900
"Chase  	Utley",PHI ,2600
"Kennys  	Vargas",MIN ,2200
"Martin  	Prado",MIA ,3100
"Norichika  	Aoki",SF ,2900
"Jordan  	Pacheco",ARI ,3000
"Jonny  	Gomes",ATL ,2200
"Ben  	Revere",PHI ,2400
"Torii  	Hunter",MIN ,2700
"Kyle  	Blanks",TEX ,2900
"Kyle  	Seager",SEA ,2800
"Brandon  	Crawford",SF ,2500
"Wilson  	Ramos",WAS ,2800
"Austin    	Jackson",SEA ,2700
"Kolten  	Wong",STL ,2400
"Billy  	Butler",OAK ,2600
"Jhonny  	Peralta",STL ,2500
"Billy  	Burns",OAK ,2300
"Ike  	Davis",OAK ,2200
"Justin  	Bour",MIA ,2200
"A.J.  	Pierzynski",ATL ,2700
"Elvis  	Andrus",TEX ,2600
"Justin  	Maxwell",SF ,2800
"Miguel  	Montero",CHC ,2800
"Cameron  	Maybin",ATL ,2700
"Darin  	Ruf",PHI ,2400
"Jon  	Jay",STL ,2500
"Chris  	Coghlan",CHC ,2300
"DJ  	LeMahieu",COL ,3600
"Mark  	Reynolds",STL ,2200
"Danny  	Valencia",TOR ,2300
"Brock  	Holt",BOS ,2200
"David  	Freese",LAA ,3000
"Mark  	Canha",OAK ,3000
"Jedd  	Gyorko",SD ,2200
"Andrelton  	Simmons",ATL ,2500
"Will  	Middlebrooks",SD ,2400
"Asdrubal  	Cabrera",TB ,2600
"Jordan  	Schafer",MIN ,2200
"Garrett  	Jones",NYY ,2200
"Adam  	Rosales",TEX ,2200
"Odubel  	Herrera",PHI ,3000
"John Ryan  	Murphy",NYY ,2200
"Logan  	Forsythe",TB ,2400
"Clint  	Barmes",SD ,2200
"J.T.  	Realmuto",MIA ,2300
"James  	Loney",TB ,2500
"Juan  	Uribe",LAD ,2400
"Starlin  	Castro",CHC ,3200
"Xander  	Bogaerts",BOS ,2800
"Nick  	Markakis",ATL ,2800
"C.J.  	Cron",LAA ,2200
"Stephen  	Drew",NYY ,2200
"Yonder  	Alonso",SD ,2600
"Matt  	Joyce",LAA ,2200
"David  	DeJesus",TB ,2200
"Jace  	Peterson",ATL ,2200
"Robbie  	Grossman",HOU ,2500
"Brett  	Lawrie",OAK ,2600
"Brad  	Miller",SEA ,2200
"Ezequiel  	Carrera",TOR ,2200
"Joe  	Panik",SF ,2500
"Robinson  	Chirinos",TEX ,2300
"Chris  	Denorfia",CHC ,2200
"Erick  	Aybar",LAA ,2300
"Logan  	Morrison",SEA ,2700
"Ichiro  	Suzuki",MIA ,2300
"Hector  	Gomez",MIL ,2200
"Chris  	Iannetta",LAA ,2200
"Sandy  	Leon",BOS ,2200
"Marwin  	Gonzalez",HOU ,2300
"Addison  	Russell",CHC ,2900
"Nick  	Hundley",COL ,3400
"Johnny  	Giavotella",LAA ,2200
"Danny  	Santana",MIN ,2800
"Dustin  	Ackley",SEA ,2200
"Adeiny  	Hechavarria",MIA ,2900
"Danny  	Espinosa",WAS ,2500
"Mike  	Zunino",SEA ,2400
"Yunel  	Escobar",WAS ,2600
"Alberto  	Callaspo",ATL ,2200
"Casey  	McGehee",SF ,2300
"Hank  	Conger",HOU ,2400
"Jake  	Smolinski",TEX ,2200
"Elian  	Herrera",MIL ,2200
"Kurt  	Suzuki",MIN ,2200
"Eduardo  	Escobar",MIN ,2200
"Nick  	Ahmed",ARI ,2700
"Didi  	Gregorius",NYY ,2200
"Martin  	Maldonado",MIL ,2200
"Eric  	Sogard",OAK ,2200
"Carlos  	Ruiz",PHI ,2200
"Rene  	Rivera",TB ,2200
"Cesar  	Hernandez",PHI ,2200
"Freddy  	Galvis",PHI ,2200
"Jeff  	Francoeur",PHI ,2200
"Tony  	Cruz",STL ,2200
"Ryan  	Goins",TOR ,2200
"Josh  	Thole",TOR ,2200
"Mark  	Teixeira",NYY ,3400
"Delino  	DeShields Jr.",TEX ,2200
"Chris  	Young",NYY ,3000
"David  	Peralta",ARI ,3300
"Colby  	Rasmus",HOU ,3100
"Russell  	Martin",TOR ,3300
"Adam  	Lind",MIL ,3100
"Jorge  	Soler",CHC ,3100
"Matt  	Adams",STL ,3100
"Justin  	Turner",LAD ,2700
"Jeff  	Baker",MIA ,2200
"Blake  	Swihart",BOS ,2200
"Brandon  	Guyer",TB ,2300
"Michael  	Saunders",TOR ,2300
"Brian  	McCann",NYY ,3200
"Rougned  	Odor",TEX ,2300
"Justin  	Smoak",TOR ,2500
"Mike  	McKenry",COL ,2800
"Tim  	Beckham",TB ,2200
"Chris  	Owings",ARI ,2800
"Danny  	Dorn",ARI ,2200
"Jose   	Pirela",NYY ,2200
"Craig  	Gentry",OAK ,2200
"Jake  	Elmore",TB ,2200
"Alex  	Guerrero",LAD ,2800
"Eduardo  	Nunez",MIN ,2500
"Ryan  	Howard",PHI ,2500
"Tyler  	Moore",WAS ,2200
"Kelly  	Johnson",ATL ,2700
"Jason  	Castro",HOU ,2200
"Sam  	Fuld",OAK ,2200
"Allen  	Craig",BOS ,2400
"Jhonatan  	Solano",MIA ,2200
"Peter  	Bourjos",STL ,2300
"Dan  	Uggla",WAS ,2800
"Yadier  	Molina",STL ,2200
"Daniel  	Nava",BOS ,2200
"Gregorio  	Petit",NYY ,2200
"Grady  	Sizemore",PHI ,2200
"Carlos  	Peguero",TEX ,2300
"Pedro  	Ciriaco",ATL ,2200
"Enrique  	Hernandez",LAD ,2200
"Reid  	Brignac",MIA ,2200
"Jonathan  	Diaz",TOR ,2200
"Juan  	Centeno",MIL ,2200
"Jonathan  	Herrera",CHC ,2200
"Yangervis  	Solarte",SD ,2400
"Mike  	Morse",MIA ,2500
"Pete  	Kozma",STL ,2200
"Jonathan  	Villar",HOU ,2200
"David  	Ross",CHC ,2200
"Clint  	Robinson",WAS ,2200
"Bobby  	Wilson",TB ,2200
"Logan  	Schafer",MIL ,2200
"Jose  	Lobaton",WAS ,2600
"Shane  	Robinson",MIN ,2200
"Andres  	Blanco",PHI ,2200
"A.J.  	Ellis",LAD ,2200
"Welington  	Castillo",CHC ,2200
"Chris  	Herrmann",MIN ,2300
"Drew  	Stubbs",COL ,3300
"Cliff  	Pennington",ARI ,2700
"Carlos  	Corporan",TEX ,2200
"Phil  	Gosselin",ATL ,2200
"Gerardo  	Parra",MIL ,2400
"Cody  	Asche",PHI ,2200
"Josh  	Phegley",OAK ,2200
"Junior  	Lake",CHC ,2200
"Gregor  	Blanco",SF ,2200
"Donovan  	Solano",MIA ,2200
"Cameron  	Rupp",PHI ,2200
"Cory  	Spangenberg",SD ,2200
"Luis  	Jimenez",BOS ,2200
"Christian  	Bethancourt",ATL ,2200
"Daniel  	Descalso",COL ,2600
"Alexi  	Amarista",SD ,2300
"Rickie  	Weeks",SEA ,2400
"Andrew  	Susac",SF ,2200
"Tuffy  	Gosewisch",ARI ,2700
"Matt  	Duffy",SF ,2200
"Justin  	Ruggiano",SEA ,2900
"Hector  	Sanchez",SF ,2200
"Collin  	Cowgill",LAA ,2200
"Will  	Venable",SD ,2200
"Joaquin  	Arias",SF ,2200
"Rafael  	Ynoa",COL ,2200
"Wil  	Nieves",SD ,2200
"Taylor  	Featherston",LAA ,2300
"Jesus  	Sucre",SEA ,2200
"Willie  	Bloomquist",SEA ,2200
"Josh   	Hamilton",TEX ,2700
"Melvin   	Upton Jr.",SD ,2500
"Jose   	Reyes",TOR ,3000
"Jeff   	Mathis",MIA ,2200
"Coco   	Crisp",OAK ,2600
"Carl   	Crawford",LAD ,2400
"Reed   	Johnson",WAS ,2400
"Maicer    	Izturis",TOR ,2200
"Don   	Kelly",MIA ,2200
"Nate   	McLouth",WAS ,2200
