Player, Team, Salary
Jake Arrieta,CHC,12700
Matt Harvey,NYM,10100
Derek Holland,TEX,9000
Yordano Ventura,KC,8800
Lance McCullers,HOU,8600
Michael Wacha,STL,8500
R.A. Dickey,TOR,7900
Brett Anderson,LAD,6500
Edwin Encarnacion,TOR,4800
Josh Donaldson,TOR,4600
Jose Bautista,TOR,4400
Anthony Rizzo,CHC,4400
Kris Bryant,CHC,4300
Yoenis Cespedes,NYM,4300
Matt Carpenter,STL,4300
Carlos Correa,HOU,4000
Adrian Beltre,TEX,4000
Daniel Murphy,NYM,3800
Shin-Soo Choo,TEX,3800
Kendrys Morales,KC,3800
Curtis Granderson,NYM,3700
Lorenzo Cain,KC,3700
Lucas Duda,NYM,3600
Justin Ruggiano,LAD,3600
George Springer,HOU,3600
Troy Tulowitzki,TOR,3600
Carlos Gomez,HOU,3500
Corey Seager,LAD,3400
David Wright,NYM,3400
Kyle Schwarber,CHC,3400
Prince Fielder,TEX,3400
Jose Altuve,HOU,3400
Starlin Castro,CHC,3400
Jason Heyward,STL,3400
Delino DeShields,TEX,3300
Evan Gattis,HOU,3300
Ben Zobrist,KC,3200
Russell Martin,TOR,3200
Kevin Pillar,TOR,3200
Justin Turner,LAD,3200
Howie Kendrick,LAD,3200
Stephen Piscotty,STL,3100
Mike Moustakas,KC,3100
Colby Rasmus,HOU,3100
Eric Hosmer,KC,3100
Ryan Strausborger,TEX,3000
Chris Colabello,TOR,3000
Luis Valbuena,HOU,3000
Chris Carter,HOU,3000
Adrian Gonzalez,LAD,3000
Tommy Pham,STL,2900
Travis d'Arnaud,NYM,2900
Rougned Odor,TEX,2900
Austin Jackson,CHC,2900
Yasmani Grandal,LAD,2900
Justin Smoak,TOR,2800
Elvis Andrus,TEX,2800
Dexter Fowler,CHC,2800
Jorge Soler,CHC,2800
Joc Pederson,LAD,2800
Yasiel Puig,LAD,2800
Ben Revere,TOR,2800
Addison Russell,CHC,2700
Mitch Moreland,TEX,2700
Alex Gordon,KC,2700
Chase Utley,LAD,2700
Andre Ethier,LAD,2700
Randal Grichuk,STL,2700
A.J. Ellis,LAD,2700
Hanser Alberto,TEX,2600
Anthony Recker,NYM,2600
Joey Gallo,TEX,2600
Robinson Chirinos,TEX,2600
Scott Van Slyke,LAD,2600
Darwin Barney,TOR,2600
Jimmy Rollins,LAD,2600
Matt Holliday,STL,2600
Jhonny Peralta,STL,2600
Michael Conforto,NYM,2500
Chris Gimenez,TEX,2500
Dilson Herrera,NYM,2500
Wilmer Flores,NYM,2500
Carlos Corporan,TEX,2500
Tony Cruz,STL,2500
Arismendy Alcantara,CHC,2500
Chris Heisey,LAD,2500
Tommy Field,TEX,2400
Josh Hamilton,TEX,2400
Ryan Rua,TEX,2400
Steve Tolleson,TOR,2400
Dioner Navarro,TOR,2400
Mike Napoli,TEX,2400
Salvador Perez,KC,2400
Bobby Wilson,TEX,2300
Jonathan Herrera,CHC,2300
Eric Campbell,NYM,2300
Munenori Kawasaki,TOR,2300
Dalton Pompey,TOR,2300
Ryan Goins,TOR,2300
Alcides Escobar,KC,2300
Brandon Moss,STL,2300
Kirk Nieuwenhuis,NYM,2300
Chris Coghlan,CHC,2300
Miguel Montero,CHC,2300
Alex Guerrero,LAD,2200
Matt Hague,TOR,2200
Kevin Plawecki,NYM,2200
Javier Baez,CHC,2200
Ezequiel Carrera,TOR,2200
Juan Lagares,NYM,2200
Johnny Monell,NYM,2200
Xavier Scruggs,STL,2200
Darrell Ceciliani,NYM,2200
Mike Baxter,CHC,2200
Eric Young,NYM,2200
Alberto Callaspo,LAD,2200
Enrique Hernandez,LAD,2200
Greg Garcia,STL,2200
Kelly Johnson,NYM,2200
Taylor Teagarden,CHC,2200
Dan Johnson,STL,2200
Leonys Martin,TEX,2200
Adam Rosales,TEX,2200
Josh Thole,TOR,2200
Alex Rios,KC,2200
Jason Castro,HOU,2200
Matt Adams,STL,2200
Michael Cuddyer,NYM,2200
Yadier Molina,STL,2200
Matt Szczur,CHC,2200
Carl Crawford,LAD,2200
Chris Denorfia,CHC,2200
Tommy La Stella,CHC,2200
David Ross,CHC,2200
Mark Reynolds,STL,2200
Jon Jay,STL,2200
Peter Bourjos,STL,2200
Cliff Pennington,TOR,2200
Drew Stubbs,TEX,2200
Pete Kozma,STL,2200
Will Venable,TEX,2200
Kolten Wong,STL,2200
Clayton Richard ,CHC,2200
Noah Syndergaard ,NYM,2200
Hansel Robles ,NYM,2200
Thomas Pham ,STL,2200
Chi Chi Gonzalez ,TEX,3500
Aaron Sanchez ,TOR,2200
Keone Kela ,TEX,2200
Ryan Tepera ,TOR,2200
Roberto Osuna ,TOR,2200
 Mark Lowe ,TOR,2200
