Player,Team,Salary
Anthony Davis,NO,10500
Damian Lillard,POR,10400
Giannis Antetokounmpo,MIL,10300
James Harden,HOU,10200
DeMarcus Cousins,NO,10000
John Wall,WAS,9800
Karl-Anthony Towns,MIN,9400
Nikola Jokic,DEN,9100
Rudy Gobert,UTA,8800
Kyrie Irving,BOS,8500
Hassan Whiteside,MIA,8400
Kawhi Leonard,SA,8200
Jimmy Butler,MIN,8100
Chris Paul,HOU,8000
Kemba Walker,CHA,7900
Marc Gasol,MEM,7800
Myles Turner,IND,7700
Mike Conley,MEM,7700
Andre Drummond,DET,7600
Eric Bledsoe,PHO,7600
Jusuf Nurkic,POR,7500
Nikola Vucevic,ORL,7400
Dennis Schroder,ATL,7400
Joel Embiid,PHI,7300
LaMarcus Aldridge,SA,7300
Paul Millsap,DEN,7200
C.J. McCollum,POR,7200
Goran Dragic,MIA,7100
Elfrid Payton,ORL,7100
Ben Simmons,PHI,7100
Ricky Rubio,UTA,7000
Devin Booker,PHO,7000
Bradley Beal,WAS,7000
Jrue Holiday,NO,7000
Aaron Gordon,ORL,6900
Victor Oladipo,IND,6800
Dennis Smith Jr.,DAL,6800
Gordon Hayward,BOS,6700
D'Angelo Russell,BKN,6600
Dwight Howard,CHA,6500
Khris Middleton,MIL,6400
Jeremy Lin,BKN,6300
Al Horford,BOS,6200
Markelle Fultz,PHI,6100
Andrew Wiggins,MIN,6000
Willie Cauley-Stein,SAC,5900
Rodney Hood,UTA,5800
Clint Capela,HOU,5800
Jeff Teague,MIN,5800
Pau Gasol,SA,5800
Jeremy Lamb,CHA,5700
Gary Harris,DEN,5700
Thaddeus Young,IND,5700
Dario Saric,PHI,5700
Otto Porter,WAS,5700
De'Aaron Fox,SAC,5700
Harrison Barnes,DAL,5700
Tobias Harris,DET,5600
Jamal Murray,DEN,5600
Dion Waiters,MIA,5600
Zach Randolph,SAC,5600
Kent Bazemore,ATL,5600
Avery Bradley,DET,5500
Derrick Favors,UTA,5500
Evan Turner,POR,5500
George Hill,SAC,5500
Rudy Gay,SA,5500
Greg Monroe,MIL,5400
Rajon Rondo,NO,5400
Reggie Jackson,DET,5300
Will Barton,DEN,5300
T.J. Warren,PHO,5300
Darren Collison,IND,5300
Tyreke Evans,MEM,5300
Nerlens Noel,DAL,5300
James Johnson,MIA,5200
Marcin Gortat,WAS,5200
JaMychal Green,MEM,5200
Dirk Nowitzki,DAL,5200
Malcolm Brogdon,MIL,5100
Marquese Chriss,PHO,5100
Al-Farouq Aminu,POR,5100
Evan Fournier,ORL,5100
Buddy Hield,SAC,5100
Marvin Williams,CHA,5000
Marcus Smart,BOS,5000
Jabari Parker,MIL,5000
Wilson Chandler,DEN,5000
Rondae Hollis-Jefferson,BKN,5000
Robert Covington,PHI,5000
Markieff Morris,WAS,5000
Taurean Prince,ATL,5000
Josh Jackson,PHO,4900
Josh Richardson,MIA,4900
Trevor Ariza,HOU,4900
Wesley Matthews,DAL,4900
Lance Stephenson,IND,4800
Kelly Olynyk,MIA,4800
Tyler Johnson,MIA,4800
Eric Gordon,HOU,4800
Skal Labissiere,SAC,4800
Ersan Ilyasova,ATL,4800
Kyle Anderson,SA,4700
Patty Mills,SA,4700
Frank Kaminsky,CHA,4600
Maurice Harkless,POR,4600
Allen Crabbe,BKN,4600
John Collins,ATL,4600
Michael Kidd-Gilchrist,CHA,4500
Joe Ingles,UTA,4500
J.J. Redick,PHI,4500
Bogdan Bogdanovic,SAC,4500
Dewayne Dedmon,ATL,4500
Yogi Ferrell,DAL,4500
Caleb Swanigan,POR,4400
Bojan Bogdanovic,IND,4400
Trevor Booker,BKN,4400
J.J. Barea,DAL,4400
Emmanuel Mudiay,DEN,4300
Sean Kilpatrick,BKN,4300
Justise Winslow,MIA,4300
Jonathon Simmons,ORL,4300
Seth Curry,DAL,4300
Taj Gibson,MIN,4300
Jon Leuer,DET,4200
Juancho Hernangomez,DEN,4200
Tyson Chandler,PHO,4200
Ryan Anderson,HOU,4200
Ish Smith,DET,4100
Cody Zeller,CHA,4100
Jayson Tatum,BOS,4100
Alex Len,PHO,4100
Caris LeVert,BKN,4100
Chandler Parsons,MEM,4100
Dejounte Murray,SA,4100
Stanley Johnson,DET,4000
Nicolas Batum,CHA,4000
Tyler Ulis,PHO,4000
Cory Joseph,IND,4000
DeMarre Carroll,BKN,4000
Jonathan Isaac,ORL,4000
Terrence Ross,ORL,4000
Jason Smith,WAS,4000
Gorgui Dieng,MIN,4000
Danny Green,SA,4000
Marcus Morris,BOS,3900
