Player,Team,Salary
Stephen Curry,GSW,11000
James Harden,HOU,10600
John Wall,WAS,10000
Draymond Green,GSW,9300
Carmelo Anthony,NYK,8400
Klay Thompson,GSW,7800
Isaiah Thomas,BOS,7700
Kawhi Leonard,SAS,7600
Dwight Howard,HOU,7400
Gordon Hayward,UTA,7300
Kristaps Porzingis,NYK,7200
LaMarcus Aldridge,SAS,7100
Derrick Favors,UTA,7000
Hassan Whiteside,MIA,7000
Dwyane Wade,MIA,6900
Giannis Antetokounmpo,MIL,6900
Marcin Gortat,WAS,6900
Chris Bosh,MIA,6800
Khris Middleton,MIL,6700
Greg Monroe,MIL,6700
Rudy Gobert,UTA,6600
Chandler Parsons,DAL,6300
Trevor Ariza,HOU,6200
Bradley Beal,WAS,6100
Rodney Hood,UTA,6000
Michael Carter-Williams,MIL,5900
Dirk Nowitzki,DAL,5800
Otto Porter,WAS,5700
Deron Williams,DAL,5700
Jae Crowder,BOS,5700
Avery Bradley,BOS,5600
Evan Turner,BOS,5600
Zaza Pachulia,DAL,5600
Clint Capela,HOU,5500
Goran Dragic,MIA,5400
Arron Afflalo,NYK,5300
Jared Sullinger,BOS,5200
Robin Lopez,NYK,5100
Jabari Parker,MIL,5000
Patrick Beverley,HOU,5000
Marcus Smart,BOS,4900
Tony Parker,SAS,4800
Danny Green,SAS,4700
Luol Deng,MIA,4700
Harrison Barnes,GSW,4700
Amir Johnson,BOS,4600
Jared Dudley,WAS,4600
Raymond Felton,DAL,4600
Jose Calderon,NYK,4600
Garrett Temple,WAS,4500
Corey Brewer,HOU,4500
Langston Galloway,NYK,4500
Juan Jose Barea,DAL,4500
Josh Smith,HOU,4400
Andre Iguodala,GSW,4400
Nene Hilario,WAS,4400
Wesley Matthews,DAL,4400
Andrew Bogut,GSW,4400
Derrick Williams,NYK,4300
Jerryd Bayless,MIL,4300
David West,SAS,4300
Kelly Olynyk,BOS,4300
Justise Winslow,MIA,4200
Amar'e Stoudemire,MIA,4000
O.J. Mayo,MIL,4000
Tyler Zeller,BOS,3800
Trevor Booker,UTA,3700
Patrick Mills,SAS,3700
Ramon Sessions,WAS,3700
Boris Diaw,SAS,3600
Raulzinho Neto,UTA,3600
Marcus Thornton,HOU,3500
Gerald Green,MIA,3500
Boban Marjanovic,SAS,3500
Kris Humphries,WAS,3400
Ty Lawson,HOU,3400
Shaun Livingston,GSW,3300
Marreese Speights,GSW,3200
Chris Johnson,UTA,3100
Leandro Barbosa,GSW,3100
Justin Anderson,DAL,3100
Joe Ingles,UTA,3100
Trey Lyles,UTA,3100
Miles Plumlee,MIL,3100
Jonathon Simmons,SAS,3100
Dwight Powell,DAL,3100
JaVale McGee,DAL,3100
Drew Gooden,WAS,3100
Beno Udrih,MIA,3100
Sasha Vujacic,NYK,3100
Jonas Jerebko,BOS,3100
Montrezl Harrell,HOU,3000
Jason Terry,HOU,3000
Jerian Grant,NYK,3000
Josh McRoberts,MIA,3000
Rashad Vaughn,MIL,3000
Rasual Butler,SAS,3000
Johnny O'Bryant,MIL,3000
Brandon Rush,GSW,3000
Salah Mejri,DAL,3000
Ray McCallum,SAS,3000
Lance Thomas,NYK,3000
Ian Clark,GSW,3000
Kevin Seraphin,NYK,3000
Charlie Villanueva,DAL,3000
Kyle O'Quinn,NYK,3000
