Player,Team,Salary
Russell Westbrook,OKC,11100
Giannis Antetokounmpo,MIL,10800
James Harden,HOU,10600
LeBron James,CLE,10300
Blake Griffin,LAC,9800
Kevin Durant,GS,9500
Nikola Jokic,DEN,9300
Damian Lillard,POR,8900
Stephen Curry,GS,8700
Hassan Whiteside,MIA,8400
Kawhi Leonard,SA,8200
Rudy Gobert,UTA,8100
Chris Paul,HOU,8000
Paul George,OKC,7900
Kristaps Porzingis,NY,7900
Myles Turner,IND,7900
Andre Drummond,DET,7800
Marc Gasol,MEM,7800
LaMarcus Aldridge,SA,7700
Mike Conley,MEM,7700
DeAndre Jordan,LAC,7600
Kevin Love,CLE,7500
Nikola Vucevic,ORL,7400
Eric Bledsoe,PHO,7400
Draymond Green,GS,7300
Elfrid Payton,ORL,7200
C.J. McCollum,POR,7100
Ricky Rubio,UTA,7000
Goran Dragic,MIA,7000
Paul Millsap,DEN,7000
Devin Booker,PHO,7000
Jusuf Nurkic,POR,7000
Carmelo Anthony,OKC,6900
Aaron Gordon,ORL,6900
Dennis Smith Jr.,DAL,6900
Victor Oladipo,IND,6800
Clint Capela,HOU,6600
Isaiah Thomas,CLE,6500
Klay Thompson,GS,6500
Khris Middleton,MIL,6400
Willie Cauley-Stein,SAC,6200
Danilo Gallinari,LAC,6100
Tobias Harris,DET,6000
Thaddeus Young,IND,5900
Darren Collison,IND,5900
Rudy Gay,SA,5800
Harrison Barnes,DAL,5800
Bobby Portis,CHI,5700
Gary Harris,DEN,5700
Pau Gasol,SA,5600
Steven Adams,OKC,5600
Evan Fournier,ORL,5600
Tim Hardaway Jr.,NY,5600
Nerlens Noel,DAL,5600
Dion Waiters,MIA,5600
Justin Holiday,CHI,5500
Will Barton,DEN,5500
Zach Randolph,SAC,5500
Robin Lopez,CHI,5400
Derrick Favors,UTA,5400
Avery Bradley,DET,5400
Eric Gordon,HOU,5400
Buddy Hield,SAC,5400
George Hill,SAC,5300
Lou Williams,LAC,5300
Patrick Beverley,LAC,5300
Lauri Markkanen,CHI,5200
Rodney Hood,UTA,5200
Reggie Jackson,DET,5200
Enes Kanter,NY,5200
Wesley Matthews,DAL,5200
James Johnson,MIA,5200
De'Aaron Fox,SAC,5200
Jamal Murray,DEN,5100
T.J. Warren,PHO,5100
Nikola Mirotic,CHI,5000
Jerian Grant,CHI,5000
Kris Dunn,CHI,5000
Dwyane Wade,CLE,5000
Dirk Nowitzki,DAL,5000
Tyreke Evans,MEM,5000
Lance Stephenson,IND,5000
Skal Labissiere,SAC,5000
Jabari Parker,MIL,5000
Malcolm Brogdon,MIL,5000
Derrick Rose,CLE,4900
Wilson Chandler,DEN,4900
Jae Crowder,CLE,4800
Guillermo Hernangomez,NY,4800
JaMychal Green,MEM,4800
Kelly Olynyk,MIA,4800
Marquese Chriss,PHO,4800
Greg Monroe,MIL,4800
Trevor Ariza,HOU,4700
Josh Jackson,PHO,4700
Al-Farouq Aminu,POR,4700
Kyle Anderson,SA,4600
Josh Richardson,MIA,4600
Zach LaVine,CHI,4500
Joe Ingles,UTA,4500
Tyler Johnson,MIA,4500
Bogdan Bogdanovic,SAC,4500
Dejounte Murray,SA,4400
Terrence Ross,ORL,4400
Milos Teodosic,LAC,4400
Evan Turner,POR,4400
Justise Winslow,MIA,4300
Denzel Valentine,CHI,4200
Patty Mills,SA,4200
Danny Green,SA,4200
J.J. Barea,DAL,4200
Yogi Ferrell,DAL,4200
Austin Rivers,LAC,4200
Maurice Harkless,POR,4200
Ish Smith,DET,4100
Ryan Anderson,HOU,4100
Andre Iguodala,GS,4100
Nick Young,GS,4100
Bojan Bogdanovic,IND,4100
Alex Len,PHO,4100
Donovan Mitchell,UTA,4000
Tristan Thompson,CLE,4000
Jonathon Simmons,ORL,4000
Ramon Sessions,NY,4000
Courtney Lee,NY,4000
Joakim Noah,NY,4000
Michael Beasley,NY,4000
Seth Curry,DAL,4000
Dillon Brooks,MEM,4000
Cory Joseph,IND,4000
Emmanuel Mudiay,DEN,4000
Tyson Chandler,PHO,4000
Tyler Ulis,PHO,4000
Caleb Swanigan,POR,4000
Joe Johnson,UTA,3900
Jon Leuer,DET,3900
Patrick McCaw,GS,3900
Jordan Bell,GS,3900
Andre Roberson,OKC,3800
Bismack Biyombo,ORL,3800
Chandler Parsons,MEM,3800
Brandan Wright,MEM,3800
Glenn Robinson III,IND,3800
Juancho Hernangomez,DEN,3800
Paul Zipser,CHI,3700
Tony Parker,SA,3700
Manu Ginobili,SA,3700
Jonas Jerebko,UTA,3700
J.R. Smith,CLE,3700
Jonathan Isaac,ORL,3700
Boban Marjanovic,DET,3700
Stanley Johnson,DET,3700
Bobby Brown,HOU,3700
Garrett Temple,SAC,3700
Alec Burks,UTA,3600
Kyle O'Quinn,NY,3600
P.J. Tucker,HOU,3600
Shaun Livingston,GS,3600
Zaza Pachulia,GS,3600
Ben McLemore,MEM,3600
Andrew Harrison,MEM,3600
Domantas Sabonis,IND,3600
Mason Plumlee,DEN,3600
Thon Maker,MIL,3600
Mario Hezonja,ORL,3500
Langston Galloway,DET,3500
Doug McDermott,NY,3500
Nene Hilario,HOU,3500
Mario Chalmers,MEM,3500
James Ennis III,MEM,3500
Al Jefferson,IND,3500
Kenneth Faried,DEN,3500
John Henson,MIL,3500
Tony Snell,MIL,3500
Noah Vonleh,POR,3500
Alan Williams,PHO,3400
Shabazz Napier,POR,3400
Zach Collins,POR,3400
Cristiano Felicio,CHI,3300
Patrick Patterson,OKC,3300
Kyle Korver,CLE,3300
Channing Frye,CLE,3300
Arron Afflalo,ORL,3300
Henry Ellenson,DET,3300
Frank Ntilikina,NY,3300
Dwight Powell,DAL,3300
Tarik Black,HOU,3300
Wayne Ellington,MIA,3300
Kosta Koufos,SAC,3300
Davis Bertans,SA,3200
Thabo Sefolosha,UTA,3200
Jarrett Jack,NY,3200
Luc Richard Mbah a Moute,HOU,3200
JaVale McGee,GS,3200
Omri Casspi,GS,3200
Jarell Martin,MEM,3200
Rodney McGruder,MIA,3200
Wesley Johnson,LAC,3200
Matthew Dellavedova,MIL,3200
Ed Davis,POR,3200
Quincy Pondexter,CHI,3100
Kay Felder,CHI,3100
D.J. Augustin,ORL,3100
Mindaugas Kuzminskas,NY,3100
Ron Baker,NY,3100
Justin Jackson,SAC,3100
Sam Dekker,LAC,3100
Pat Connaughton,POR,3100
David Nwaba,CHI,3000
Cameron Payne,CHI,3000
Ryan Arcidiacono,CHI,3000
Antonio Blakeney,CHI,3000
Bryn Forbes,SA,3000
Matt Costello,SA,3000
Joffrey Lauvergne,SA,3000
Derrick White,SA,3000
Darrun Hilliard,SA,3000
Brandon Paul,SA,3000
Alex Abrines,OKC,3000
Jerami Grant,OKC,3000
Raymond Felton,OKC,3000
Nick Collison,OKC,3000
Kyle Singler,OKC,3000
Josh Huestis,OKC,3000
PJ Dozier,OKC,3000
Dakari Johnson,OKC,3000
Daniel Hamilton,OKC,3000
Terrance Ferguson,OKC,3000
Ekpe Udoh,UTA,3000
Nate Wolters,UTA,3000
Eric Griffin,UTA,3000
Royce O'Neale,UTA,3000
Dante Exum,UTA,3000
Raul Neto,UTA,3000
Tony Bradley,UTA,3000
Jose Calderon,CLE,3000
Jeff Green,CLE,3000
Iman Shumpert,CLE,3000
John Holland,CLE,3000
London Perrantes,CLE,3000
Ante Zizic,CLE,3000
Cedi Osman,CLE,3000
Shelvin Mack,ORL,3000
Marreese Speights,ORL,3000
Khem Birch,ORL,3000
Adreian Payne,ORL,3000
Jamel Artis,ORL,3000
Wes Iwundu,ORL,3000
Luke Kennard,DET,3000
Luis Montero,DET,3000
Reggie Bullock,DET,3000
Eric Moreland,DET,3000
Dwight Buycks,DET,3000
Anthony Tolliver,DET,3000
Luke Kornet,NY,3000
Damyean Dotson,NY,3000
Lance Thomas,NY,3000
Salah Mejri,DAL,3000
Dorian Finney-Smith,DAL,3000
Johnathan Motley,DAL,3000
Jeff Withey,DAL,3000
Devin Harris,DAL,3000
Josh McRoberts,DAL,3000
Gian Clavell,DAL,3000
Maxi Kleber,DAL,3000
Demetrius Jackson,HOU,3000
Troy Williams,HOU,3000
Chinanu Onuaku,HOU,3000
Zhou Qi,HOU,3000
David West,GS,3000
Damian Jones,GS,3000
Quinn Cook,GS,3000
Kevon Looney,GS,3000
Chris Boucher,GS,3000
Deyonta Davis,MEM,3000
Ivan Rabb,MEM,3000
Kobi Simmons,MEM,3000
Vince Hunter,MEM,3000
Wayne Selden Jr.,MEM,3000
Edmond Sumner,IND,3000
Ike Anigbogu,IND,3000
TJ Leaf,IND,3000
Damien Wilkins,IND,3000
Alex Poythress,IND,3000
Joe Young,IND,3000
Udonis Haslem,MIA,3000
Okaro White,MIA,3000
A.J. Hammons,MIA,3000
Matt Williams,MIA,3000
Jordan Mickey,MIA,3000
Derrick Walton Jr.,MIA,3000
Bam Adebayo,MIA,3000
Darrell Arthur,DEN,3000
Torrey Craig,DEN,3000
Monte Morris,DEN,3000
Tyler Lydon,DEN,3000
Malik Beasley,DEN,3000
Trey Lyles,DEN,3000
Richard Jefferson,DEN,3000
Malachi Richardson,SAC,3000
Georgios Papagiannis,SAC,3000
Harry Giles,SAC,3000
Jack Cooley,SAC,3000
Vince Carter,SAC,3000
Frank Mason III,SAC,3000
Jakarr Sampson,SAC,3000
C.J. Williams,LAC,3000
Jamil Wilson,LAC,3000
Willie Reed,LAC,3000
Brice Johnson,LAC,3000
Montrezl Harrell,LAC,3000
Sindarius Thornwell,LAC,3000
Jawun Evans,LAC,3000
Mike James,PHO,3000
Brandon Knight,PHO,3000
Davon Reed,PHO,3000
Alec Peters,PHO,3000
Jared Dudley,PHO,3000
Troy Daniels,PHO,3000
Derrick Jones Jr.,PHO,3000
Dragan Bender,PHO,3000
Sterling Brown,MIL,3000
Mirza Teletovic,MIL,3000
DeAndre Liggins,MIL,3000
Jason Terry,MIL,3000
D.J. Wilson,MIL,3000
Gary Payton II,MIL,3000
Rashad Vaughn,MIL,3000
Meyers Leonard,POR,3000
Jake Layman,POR,3000
C.J. Wilcox,POR,3000
