Name,teamAbbrev,Salary
Sergei Bobrovsky,CLS,8400
Braden Holtby,WAS,8300
Joonas Korpisalo,CLS,8200
Cam Talbot,EDM,8200
Philipp Grubauer,WAS,8100
Connor Hellebuyck,WPG,8100
Connor McDavid,EDM,8100
Alex Ovechkin,WAS,8000
Al Montoya,EDM,8000
Mike Smith,CGY,7900
Steve Mason,WPG,7900
David Rittich,CGY,7700
Blake Wheeler,WPG,7700
Patrick Kane,CHI,7400
Corey Crawford,CHI,7300
Patrik Laine,WPG,7300
Roberto Luongo,FLA,7200
James Reimer,FLA,7200
Johnny Gaudreau,CGY,7200
Anton Forsberg,CHI,7100
Jeff Glass,CHI,7100
Jacob Markstrom,VAN,7000
Anders Nilsson,VAN,7000
Harri Sateri,FLA,7000
Aleksander Barkov,FLA,7000
Scott Darling,CAR,6900
Cam Ward,CAR,6900
Antti Raanta,ARI,6900
Scott Wedgewood,ARI,6800
Artemi Panarin,CLS,6700
Nicklas Backstrom,WAS,6700
Jonathan Huberdeau,FLA,6600
John Carlson,WAS,6600
Richard Bachman,VAN,6500
Thatcher Demko,VAN,6500
Matiss Kivlenieks,CLS,6500
Jon Gillies,CGY,6500
Samuel Montembeault,FLA,6500
Alex Nedeljkovic,CAR,6500
Jeremy Smith,CAR,6500
Pheonix Copley,WAS,6500
J.F. Berube,CHI,6500
Eric Comrie,WPG,6500
Michael Hutchinson,WPG,6500
Nikolaj Ehlers,WPG,6500
Mark Scheifele,WPG,6500
Laurent Brossoit,EDM,6500
Edward Pasquale,EDM,6500
Nick Ellis,EDM,6500
Adin Hill,ARI,6500
Marek Langhamer,ARI,6500
Sean Maguire,ARI,6500
Brock Boeser,VAN,6400
Vincent Trocheck,FLA,6400
Jonathan Toews,CHI,6300
Leon Draisaitl,EDM,6300
Seth Jones,CLS,6200
Sean Monahan,CGY,6200
Kyle Connor,WPG,6000
Artem Anisimov,CHI,6000
Josh Anderson,CLS,5900
Clayton Keller,ARI,5700
Zach Werenski,CLS,5600
Evgeny Kuznetsov,WAS,5600
