Player,Team,Salary
James Harden,HOU,11400
Giannis Antetokounmpo,MIL,10900
Joel Embiid,PHI,9600
Andre Drummond,DET,9400
Karl-Anthony Towns,MIN,8900
Chris Paul,HOU,8800
Ben Simmons,PHI,8700
Damian Lillard,POR,8400
Kyrie Irving,BOS,8000
Nikola Vucevic,ORL,7900
Kristaps Porzingis,NY,7900
LaMarcus Aldridge,SA,7800
Jimmy Butler,MIN,7700
Aaron Gordon,ORL,7600
Khris Middleton,MIL,7500
Al Horford,BOS,7100
Eric Bledsoe,MIL,7100
CJ McCollum,POR,7000
Enes Kanter,NY,6900
Elfrid Payton,ORL,6800
Pau Gasol,SA,6700
Tobias Harris,DET,6600
Clint Capela,HOU,6500
Jonathon Simmons,ORL,6400
Jusuf Nurkic,POR,6300
Jeff Teague,MIN,6100
Dario Saric,PHI,6000
Kawhi Leonard,SA,6000
Robert Covington,PHI,5900
Eric Gordon,HOU,5800
Tim Hardaway Jr.,NY,5800
Taj Gibson,MIN,5700
Andrew Wiggins,MIN,5600
Jayson Tatum,BOS,5500
Reggie Jackson,DET,5400
Evan Fournier,ORL,5400
Trevor Ariza,HOU,5300
Jaylen Brown,BOS,5200
JJ Redick,PHI,5200
Marcus Smart,BOS,5100
Jabari Parker,MIL,5000
Ryan Anderson,HOU,4900
Ish Smith,DET,4900
Courtney Lee,NY,4900
Al-Farouq Aminu,POR,4800
Avery Bradley,DET,4800
John Henson,MIL,4800
Malcolm Brogdon,MIL,4800
P.J. Tucker,HOU,4700
Rudy Gay,SA,4700
Marcus Morris,BOS,4600
Bismack Biyombo,ORL,4600
Danny Green,SA,4600
Mario Hezonja,ORL,4500
Michael Beasley,NY,4400
Terry Rozier,BOS,4300
Kyle Anderson,SA,4300
Jarrett Jack,NY,4300
T.J. McConnell,PHI,4200
Richaun Holmes,PHI,4200
Shabazz Napier,POR,4200
Tony Parker,SA,4200
Stanley Johnson,DET,4100
Manu Ginobili,SA,4100
Trevor Booker,PHI,4000
Reggie Bullock,DET,4000
Dejounte Murray,SA,4000
Nene Hilario,HOU,3900
Jerryd Bayless,PHI,3800
Markelle Fultz,PHI,3800
Evan Turner,POR,3800
Marreese Speights,ORL,3800
Langston Galloway,DET,3800
Anthony Tolliver,DET,3800
Jamal Crawford,MIN,3800
Kyle O'Quinn,NY,3800
Patty Mills,SA,3800
Daniel Theis,BOS,3700
Amir Johnson,PHI,3700
D.J. Augustin,ORL,3700
Tony Snell,MIL,3700
Frank Ntilikina,NY,3700
Zach Collins,POR,3600
Ed Davis,POR,3600
Luke Kennard,DET,3600
Adreian Payne,ORL,3600
Gorgui Dieng,MIN,3600
Aron Baynes,BOS,3500
Maurice Harkless,POR,3500
Terrence Ross,ORL,3500
Doug McDermott,NY,3500
Tarik Black,HOU,3400
Shelvin Mack,ORL,3400
Arron Afflalo,ORL,3400
Tyus Jones,MIN,3400
Guillermo Hernangomez,NY,3400
Davis Bertans,SA,3400
Brandon Paul,SA,3400
Bryn Forbes,SA,3400
Shane Larkin,BOS,3300
Timothe Luwawu-Cabarrot,PHI,3300
Jonathan Isaac,ORL,3300
Boban Marjanovic,DET,3300
Nemanja Bjelica,MIN,3300
Shabazz Muhammad,MIN,3300
Ron Baker,NY,3300
Lance Thomas,NY,3300
Damyean Dotson,NY,3300
Luc Richard Mbah a Moute,HOU,3200
Semi Ojeleye,BOS,3200
Meyers Leonard,POR,3200
Pat Connaughton,POR,3200
Wes Iwundu,ORL,3200
Matthew Dellavedova,MIL,3200
DeAndre Liggins,MIL,3200
Thon Maker,MIL,3200
Noah Vonleh,POR,3100
Caleb Swanigan,POR,3100
Mirza Teletovic,MIL,3100
Guerschon Yabusele,BOS,3000
Abdel Nader,BOS,3000
Bobby Brown,HOU,3000
Briante Weber,HOU,3000
Zhou Qi,HOU,3000
Jabari Bird,BOS,3000
Troy Williams,HOU,3000
Demetrius Jackson,HOU,3000
Kadeem Allen,BOS,3000
Chinanu Onuaku,HOU,3000
Gordon Hayward,BOS,3000
Justin Anderson,PHI,3000
Jake Layman,POR,3000
Furkan Korkmaz,PHI,3000
James Michael McAdoo,PHI,3000
Jacob Pullen,PHI,3000
Wade Baldwin IV,POR,3000
CJ Wilcox,POR,3000
Jon Leuer,DET,3000
Eric Moreland,DET,3000
Henry Ellenson,DET,3000
Jamel Artis,ORL,3000
Khem Birch,ORL,3000
Dwight Buycks,DET,3000
Luis Montero,DET,3000
Rashad Vaughn,MIL,3000
Jason Terry,MIL,3000
Sterling Brown,MIL,3000
Aaron Brooks,MIN,3000
Joel Bolomboy,MIL,3000
Marcus Georges-Hunt,MIN,3000
Cole Aldrich,MIN,3000
D.J. Wilson,MIL,3000
Anthony Brown,MIN,3000
Justin Patton,MIN,3000
Sean Kilpatrick,MIL,3000
Matt Costello,SA,3000
Joffrey Lauvergne,SA,3000
Joakim Noah,NY,3000
Derrick White,SA,3000
Darrun Hilliard,SA,3000
Luke Kornet,NY,3000
Isaiah Hicks,NY,3000
Ramon Sessions,NY,3000
