Player,Team,Salary
Russell Westbrook,OKC,11400
DeMarcus Cousins,NO,10900
Anthony Davis,NO,10400
Stephen Curry,GS,9900
Kevin Durant,GS,9600
Andre Drummond,DET,8800
Karl-Anthony Towns,MIN,8600
LaMarcus Aldridge,SA,8500
John Wall,WAS,8500
Kawhi Leonard,SA,8200
Paul George,OKC,8200
Kyle Lowry,TOR,8100
Victor Oladipo,IND,8000
Bradley Beal,WAS,7900
DeMar DeRozan,TOR,7900
Marc Gasol,MEM,7800
Aaron Gordon,ORL,7600
Hassan Whiteside,MIA,7600
Rudy Gobert,UTA,7500
Kemba Walker,CHA,7500
Dwight Howard,CHA,7500
Draymond Green,GS,7400
Jimmy Butler,MIN,7300
Nikola Vucevic,ORL,7200
Goran Dragic,MIA,7000
Klay Thompson,GS,6900
Tyreke Evans,MEM,6800
Andrew Wiggins,MIN,6700
Carmelo Anthony,OKC,6700
Donovan Mitchell,UTA,6600
Derrick Favors,UTA,6500
Mike Conley,MEM,6500
Jeff Teague,MIN,6500
Otto Porter,WAS,6500
Dion Waiters,MIA,6400
Tobias Harris,DET,6300
Myles Turner,IND,6300
Kris Dunn,CHI,6200
Jrue Holiday,NO,6200
Elfrid Payton,ORL,6100
Lauri Markkanen,CHI,6000
Pau Gasol,SA,6000
Reggie Jackson,DET,6000
Nicolas Batum,CHA,6000
James Johnson,MIA,5900
Justin Holiday,CHI,5800
Steven Adams,OKC,5800
Avery Bradley,DET,5800
Darren Collison,IND,5800
Denzel Valentine,CHI,5700
Rodney Hood,UTA,5700
Mario Chalmers,MEM,5700
Taj Gibson,MIN,5700
Jeremy Lamb,CHA,5700
Ricky Rubio,UTA,5600
Thaddeus Young,IND,5600
Evan Fournier,ORL,5500
Kyle Anderson,SA,5500
Willie Cauley-Stein,SAC,5400
Domantas Sabonis,IND,5300
Zach Randolph,SAC,5200
Robin Lopez,CHI,5100
Jonathon Simmons,ORL,5100
Nikola Mirotic,CHI,5000
Joe Ingles,UTA,4900
Marcin Gortat,WAS,4900
Bobby Portis,CHI,4800
Kelly Oubre Jr.,WAS,4800
Serge Ibaka,TOR,4800
Jonas Valanciunas,TOR,4800
Zach LaVine,CHI,4700
Rajon Rondo,NO,4700
Rudy Gay,SA,4700
Tyus Jones,MIN,4700
Buddy Hield,SAC,4600
Markieff Morris,WAS,4600
Josh Richardson,MIA,4600
Bojan Bogdanovic,IND,4600
Jerian Grant,CHI,4500
Lance Stephenson,IND,4500
De'Aaron Fox,SAC,4400
Tyler Johnson,MIA,4400
Kelly Olynyk,MIA,4400
Michael Carter-Williams,CHA,4400
Danny Green,SA,4300
JaMychal Green,MEM,4300
George Hill,SAC,4200
Tim Frazier,WAS,4200
Michael Kidd-Gilchrist,CHA,4200
Malik Monk,CHA,4200
Patty Mills,SA,4100
Ish Smith,DET,4100
Bam Adebayo,MIA,4100
Pascal Siakam,TOR,4100
Jerami Grant,OKC,4000
Frank Kaminsky,CHA,4000
Norman Powell,TOR,4000
Garrett Temple,SAC,3900
Jonas Jerebko,UTA,3900
D.J. Augustin,ORL,3900
Tony Parker,SA,3900
Justise Winslow,MIA,3900
C.J. Miles,TOR,3900
David Nwaba,CHI,3800
Andre Iguodala,GS,3800
Chandler Parsons,MEM,3800
Dillon Brooks,MEM,3800
Gorgui Dieng,MIN,3800
Stanley Johnson,DET,3800
Tomas Satoransky,WAS,3800
Wayne Ellington,MIA,3800
Glenn Robinson III,IND,3800
Frank Mason III,SAC,3700
Thabo Sefolosha,UTA,3700
Terrence Ross,ORL,3700
Shaun Livingston,GS,3700
Bryn Forbes,SA,3700
Manu Ginobili,SA,3700
Marvin Williams,CHA,3700
Bogdan Bogdanovic,SAC,3600
E'Twaun Moore,NO,3600
Alec Burks,UTA,3600
Omri Casspi,GS,3600
Patrick McCaw,GS,3600
Dejounte Murray,SA,3600
Brandon Paul,SA,3600
James Ennis III,MEM,3600
Nemanja Bjelica,MIN,3600
Jamal Crawford,MIN,3600
Cody Zeller,CHA,3600
Paul Zipser,CHI,3500
Joe Johnson,UTA,3500
Jameer Nelson,NO,3500
David West,GS,3500
Jonathan Isaac,ORL,3500
Ben McLemore,MEM,3500
Shabazz Muhammad,MIN,3500
Jodie Meeks,WAS,3500
OG Anunoby,TOR,3500
Cory Joseph,IND,3500
Delon Wright,TOR,3500
Kosta Koufos,SAC,3400
Skal Labissiere,SAC,3400
Darius Miller,NO,3400
Mario Hezonja,ORL,3400
Arron Afflalo,ORL,3400
Andrew Harrison,MEM,3400
Jarell Martin,MEM,3400
Andre Roberson,OKC,3400
Anthony Tolliver,DET,3400
Ian Mahinmi,WAS,3400
Jason Smith,WAS,3400
Al Jefferson,IND,3400
Lucas Nogueira,TOR,3400
Fred VanVleet,TOR,3400
Jakob Poeltl,TOR,3400
Justin Jackson,SAC,3300
Dante Cunningham,NO,3300
Shelvin Mack,ORL,3300
Nick Young,GS,3300
Brandan Wright,MEM,3300
Raymond Felton,OKC,3300
Dakari Johnson,OKC,3300
Alex Abrines,OKC,3300
Luke Kennard,DET,3300
Dwayne Bacon,CHA,3300
Ian Clark,NO,3200
Raul Neto,UTA,3200
Jordan Bell,GS,3200
Bismack Biyombo,ORL,3200
Zaza Pachulia,GS,3200
Deyonta Davis,MEM,3200
Mike Scott,WAS,3200
Antonio Blakeney,CHI,3100
Cheick Diallo,NO,3100
Tony Allen,NO,3100
Marreese Speights,ORL,3100
Patrick Patterson,OKC,3100
Cristiano Felicio,CHI,3000
Quincy Pondexter,CHI,3000
Ryan Arcidiacono,CHI,3000
Cameron Payne,CHI,3000
Kay Felder,CHI,3000
Jack Cooley,SAC,3000
Vince Carter,SAC,3000
Jakarr Sampson,SAC,3000
Georgios Papagiannis,SAC,3000
Harry Giles,SAC,3000
Malachi Richardson,SAC,3000
Omer Asik,NO,3000
Jalen Jones,NO,3000
Solomon Hill,NO,3000
Charles Cooke,NO,3000
Frank Jackson,NO,3000
Alexis Ajinca,NO,3000
Nate Wolters,UTA,3000
Tony Bradley,UTA,3000
Eric Griffin,UTA,3000
Ekpe Udoh,UTA,3000
Royce O'Neale,UTA,3000
Dante Exum,UTA,3000
JaVale McGee,GS,3000
Quinn Cook,GS,3000
